totally|adv.完全
elderly|adj.年老的；年长的
oh|int.啊呀；哦
branch|n.分部；部门；分店；分支；树枝; v.分岔；分支
leadership|n.领导；领导才干
critical|adj.批评的；挑剔的；决定性的；危险的; adj.临界的
maximum|n.最大量；最大限度；最高点; adj.最高的；最大极限的
extremely|adv.非常；极其
liberal|adj.慷慨的；大方的；开明的；自由主义的; n.自由主义者；开明的人
generally|adv.一般地；通常；普遍地
complex|adj.复杂的；合成的；复合的; n.综合体；复合体；[医]综合症状；[心]情结
capable|adj.有能力的；能干的；有...的可能性
driver|n.驾驶员；司机；驱动器
properly|adv.适当地；正确地；完全地
external|adj.外来的；外部的；外面的；表面的; n.外观；外部；外界事物
upper|adj.较高的；上面的；上部的; n.鞋帮；上铺; n.兴奋剂；令人兴奋的经历
broad|adj.宽广的；清楚无误的；明显的；胸怀开阔的；粗俗的; n.女子
reduction|n.减少；降低；减价；(化学)还原反应；(数学)约分
estate|n.财产；遗产；房地产；状态；庄园
institution|n.制定；制度；机构；名流
user|n.用户；使用者
seriously|adv.严肃地；认真地；严重地
examination|n.考查；考试；审讯；检查
membership|n.成员资格；会员全体；从属关系
younger|adj.较年轻的; n.少年；儿童
colleague|n.同事
committed|adj.忠诚的；坚定的；献身于某种事业的；委托的
investigation|n.调查
ministry|n.(政府的)部；内阁；(全体)牧师
sexual|adj.性的；性欲的；有性生殖的；性别的
estimated|adj.估计的
rising|n.上升；造反或叛乱; adj.上升的；高涨的
remaining|adj.剩余的
marketing|n.市场营销；行销
collection|n.收集；收取，托收；聚集；收藏品；募捐
necessarily|adv.必然地；必定地；必需地
definition|n.定义；阐释；清晰度
acid|n.酸；酸性物质；迷幻药; adj.酸的；酸性的；尖酸的
domestic|adj.家庭的；国内的；驯养的; n.佣人；家仆
faith|n.信仰；信念；信任
dropped|v.降下(减少；划线；停止；除去)
reaction|n.反应；生理反应；反应能力；复旧；反动；化学反应
palace|n.宫殿；豪华住宅；王室；大的公共建筑(如旅馆、影院等)
fighting|n.对抗；打架；加油，拼搏; adj.战斗的；有勇气的
effectively|adv.事实上；有效地
reference|n.参考；参照；出处；推荐人；推荐函; v.注明出处；附参考资料
remains|n.剩余物；遗迹；遗体
procedures|操作
advanced|adj.先进的；高级的
cabinet|n.橱柜；内阁; adj.内阁的；秘密的
