asthma|n.哮喘
reduction|n.减少；降低；减价；(化学)还原反应；(数学)约分
external|adj.外来的；外部的；外面的；表面的; n.外观；外部；外界事物
discrimination|n.歧视；鉴赏力；辨别
prime|adj.最好的；首要的；典型的; n.壮年；全盛时期；青春; n.[数]质数; vt.事先指点；在（金属、木材等上）打底漆; vi.变得首要
starve|vi.挨饿；受饿；极度匮乏; vt.使挨饿；使饿死
structural|adj.结构的；构造的；建筑的；建筑用的
propulsion|n.推进；推进力
surely|adv.无疑；一定；稳当地；显然
item|n.项目；条款；一件商品（或物品）；一则或一条新闻; adv.也
reverse|v.逆转；倒退；互换；改变; adj.相反的；反面的；颠倒的; n.相反；背面；失败；倒档
creates|n.创立; 创建.
deploy|v.部署；展开；进入战斗位置；配置
approved|adj.经核准的；被认可的
dropped|v.降下(减少；划线；停止；除去)
vaccine|n.疫苗
remains|n.剩余物；遗迹；遗体
production|n.生产；产量；作品；成果；分泌；制作；上映；播出
completely|adv.完全地；十分地；全然
hover|v.盘旋；徘徊；靠近（某事物），维持在某种不确定的状态; n.盘旋
economy|n.经济；节约; adj.经济的；廉价的
eyeball|n.眼球；眼珠; v.盯着；打量
obstacle|n.障碍；绊脚石
etc.|etcetra(=andsoon)等等，及其他
frequency|n.频繁；频率
satellite|n.卫星；人造卫星
tough|adj.强硬的；棘手的，难办的；艰苦的；严厉的；牢固的，强壮的；坚强的，坚韧的; adv.以强硬的态度；强硬地，顽强地; n.暴徒;恶棍
upload|v.上传；上载; n.上传
medicines|药品
boxed|vbl.装箱
liberal|adj.慷慨的；大方的；开明的；自由主义的; n.自由主义者；开明的人
interact|vi.相互作用；相互联系；相互影响；互动
rovers|n.巡游者；海上掠夺
workforce|n.劳动力；工人总数；职工总数
corps|n.军团；兵团；队
immunity|n.免疫；免疫性；免除；豁免
representative|n.代表；众议员；典型; adj.代表的；典型的；代表制的
scheme|n.阴谋；计划；方案; v.图谋；设计；策划；认为
elsewhere|adv.别处
counterclockwise|反时针方向(的)
organization|n.机构；组织; adj.有组织的
antenna|n.触角；天线
audience|n.听众；观众；读者；倾听；拥护者；正式会见
mosque|n.清真寺
legislature|n.立法机关
trump|n.王牌；法宝; v.打出王牌；胜过；吹喇叭
worship|n.崇拜；爱慕；做礼拜; vi.做礼拜; vt.崇拜；爱慕
vaccinate|v.接种疫苗；预防接种
mosques|清真寺
invisible|adj.看不见的；无形的; n.隐形人(或物)
globally|adv.世界上；全世界
neighborhood|n.邻近；邻居；附近
pole|n.杆；柱；极点; v.(用杆)支撑; Pole.; n.波兰人
tube|n.管子；管状物；地铁；电视；管状器官; v.提供或装上管子
tech|n.技术学校；技术；技术人员
aerospace|n.宇宙空间；航空航天学；航空航天工业; adj.航天的；太空的
viral|adj.病毒的; n.病毒式传播；【经】病毒式营销
versus|prep.对抗；与...相对(略作v.或vs.)
pests|害虫
wavelengths|波长
conception|n.概念；观念；构想；怀孕
sojourner|n.逗留者；旅居者
pandemic|adj.全国流行的; n.流行病
inject|v.注射；注入；引入；插入
whereas|conj.然而；鉴于
herd|n.兽群；牧人；群; vt.放牧；群集；使...成群，把…赶到一起; vi.聚在一起
download|v.下载; n.下载
infection|n.传染；传染病；影响
politically|adv.政治上地
closest|adj.最靠近的
palace|n.宫殿；豪华住宅；王室；大的公共建筑(如旅馆、影院等)
results|n.结果
absence|n.缺席；缺乏
treated|v.对待；招待；治疗; vbl.对待；招待；治疗
proposed|adj.被提议的
curved|adj.弯曲的
assembly|n.集会；集合；议会；装配；与会者；聚集在一起的人；[计]汇编
restore|vt.恢复；归还；复原
signal|n.信号；标志; v.(发信号)通知、表示; adj.显著的
apart|adv.相距；分开地；分别地; adj.分开的；分离的
managers|经理
untrue|adj.不真实的；不正确的；不忠实的；不符合(标准、原则等)的
somalia|n.索马里（非洲东部一国）
proteins|蛋白质
obvious|adj.明显的；显然的
cabinet|n.橱柜；内阁; adj.内阁的；秘密的
religion|n.宗教；宗教信仰
clue|n.线索；提示
account|n.账户；帐目；赊账；老主顾；报告；描述；解释；说明；估计；理由；利益；好处；根据; v.解释；导致；报账；把...视为；归咎(于)
hotter|adj.更热的；更热烈的
speaker|n.说话者；发言者；说某种语言者；扬声器
hawk|n.鹰；鹰派人物、主战分子；贪婪的人；清嗓; v.沿街叫卖；散布；鹰扑；放鹰行猎；清嗓
fully|adv.十分地；完全地；全部；足足
highly|adv.高度地；很；非常；赞许地
prevention|n.阻止；妨碍；预防
website|n.网站
required|adj.必需的
commenter|n.批评家
billion|n.十亿
mathematician|n.数学家
