highways|高速公路
empire|n.帝国；大企业；帝权
pile|n.堆；大量；绒面；桩；大笔钱财; 高大的旧建筑; v.堆积；积累；拥入；夸张
behavior|n.行为；举止；习性；态度
according|adv.根据；按照; adj.相符的，一致的，相应的；和谐的，调和的
footage|n.【U】以尺计算长度；尺数；连续镜头
athletes|运动员
medicinal|adj.药物的；有药味的；治疗的；医学的
beings|n.人；n
crunch|v.发出碎裂声；嘎吱嘎吱地咀嚼；嘎喳嘎喳地碾过; n.嘎吱声；艰难局面；关键时刻
hornets|雀蜂,大胡蜂
biome|n.生物群系
peak|n.尖端；山顶；顶峰; v.达到顶峰；使处于顶点; vi.消瘦
blue-green|蓝绿色
humane|adj.仁慈的；人道的
substrate|n.[无线电]基底；[印刷]底面；承印物；[生化]基质；被酶作用物
extremist|n.极端主义者；过激分子; adj.极端的
honored|adj.深感荣幸的；受尊敬的
wounded|adj.受伤的; n.伤员
junkyard|n.[美]废物堆积场
ecological|adj.生态的；生态学的
rio|n.里约热内卢; =RIODEJANEIRO.
portion|n.部分；命运；分担的责任；份; v.分配；命运注定
jet-propelled|adj.喷气推进式的
meatball|n.肉团；愚蠢
overpass|n.天桥；立交桥; vt.超越；胜过；忽略
split|v.分裂；将…分成若干部分；分摊；分离；劈开；裂开；离开; n.劈开；裂口；分裂；一份；水果冰淇淋; adj.分裂的；意见分歧的
trail|n.踪迹；小径；尾；一系列; vi.拖；落后于; vt.追踪；拖拽；尾随
bust|n.半身像；胸部；搜查；失败; v.打碎；搜捕；降级；终止; adj.破产的；打碎的
fuzzy|adj.毛茸茸的；模糊的；含糊不清的（感情）
seafood|n.海产食品；海味
biologist|n.生物学家
vet|n.兽医；老兵; vt.诊疗；审查; vi.作兽医
close-knit|adj.紧密的；组织严密的
armed|adj.武装的；有扶手的；[生]有防护器官的
spit|n.唾液；小雨；烤肉叉；海峡；酷似；彻底的擦洗; v.吐口水；吐出；厉声说出；下小雨；(指火、熬热的油脂等)毕剥作响；用烤肉叉叉住；彻底地擦洗设备
hamster|n.仓鼠
unsure|adj.不肯定的；不确定的；没有自信的
bonded|adj.以债券作保证的；有担保的；存入保税仓库的
athletics|n.体育运动；田径
restoration|n.恢复；归还；复位
fright|n.惊骇；惊恐；怪人
socially|adv.在社交上；在社会上；与礼貌行为相关
sap|n.树液；汁液；精力；易上当的人；地道; v.挖地道；削弱；逐渐耗竭
warning|n.警告；警报；预兆; adj.警告的；告诫的
long-eared|adj.有长耳的(或耳状部分的)
syndrome|n.症候群；综合症
lockdown|n.一级防范禁闭
inspiration|n.灵感；鼓舞人心(的东西)；吸气
racial|adj.种族的；人种的
spiny|adj.多刺的；尖刺状的；困难的；麻烦的
fast-breaking|adj.迅速展开的；迅速发生的
veterinarians|兽医
harsh|adj.粗糙的；严厉的，严酷的；刺耳的；使人不舒服的；大约的
flutter|n.摆动；振翼；烦扰; vi.摆动；振翼；烦扰; vt.使心烦；使焦虑
handler|n.畜禽的训练者；处理者；处理器；（明星等的）经理人；拳击教练
centimetres|厘米，公分
selfie|n.自拍照（网络用语）
stringy|adj.线；绳的；纤维的
crawl|v.爬行；卑躬屈膝；自由式游泳; n.爬行；匍匐而行；[体]自由式游泳
barrier|n.栅栏；障碍物；屏障
guns|枪炮
timeless|adj.永恒的；不受时间影响的
propaganda|n.宣传；宣传的内容
hook|n.钩；钩状物；勾拳; v.钩住；弯成(钩状)；当妓女
lichens|地衣类,地衣
talbot|n.猎狗的一种
grandchild|n.孙儿；孙女
couch|n.长椅；睡椅；长沙发；兽穴; vt.表达；躺下; vi.埋伏；躺下
lowest|adj.最低的；最底下的；最小的
thali|n.(印度装食物用的)大浅盘
vegetarian|n.素食者; adj.素食的
unfairly|adv.不公平地；不正当地
treaty|n.条约；协定
classified|adj.分类的；类别的；机密的
