curtain|n.窗帘；门帘；幕(布); vt.(用帘)装饰；(以帘)遮蔽
snuggle|v.依偎；挨近
glimpse|n.一瞥；一闪；略微；隐约感觉; v.瞥见
astonish|vt.使惊讶；使吃惊
delight|n.高兴；快乐; v.(使)高兴；(使)欣喜
temporarily|adv.暂时地；临时地
flagpole|n.旗竿; =flagstaff.
detect|v.发觉；察觉；探测
hurriedly|adv.匆忙地
amusing|adj.有趣的；引人发笑的
wearer|n.穿用者
piracy|n.盗版；剽窃；著作权侵害；海盗行为
artiste|n.艺人；表演艺术家
wheeze|v.喘息；呼哧呼哧地响; n.喘息声
worthless|adj.无价值的；无用的；可鄙的
sunup|n.日出
nerve|n.神经；勇气；敏感处；叶脉；厚脸皮; v.鼓起勇气; （复）nerves:神经紧张.
whisky|n.威士忌酒; =whiskey(美).
whoosh|v.飞快地移动; n.嗖的一声；冲出(表示飞快的移动)
persistent|adj.坚持的；连续的；固执的
invasion|n.侵略；侵入
reputation|n.好名声；声誉，名声，名气
painter|n.画家；油漆匠
sympathetic|adj.同情的；共鸣的；赞同的; n.交感神经
accidentally|adv.偶然地；意外地；附带地
accompany|vt.陪伴；伴随...发生；补充；给...伴奏; vi.伴奏
bitterly|adv.残酷地；痛苦地
yolk|n.蛋黄
tyre|n.轮胎; =tire（美）.; Tyre：提尔(古代腓尼基的有名港口；现属黎巴嫩).
playgrounds|游戏场地
soundly|adv.完全地；健全地；坚牢地；香甜地
handball|n.手球；墙手球运动
monsoon|n.季风；雨季
colds|n.感冒
temptation|n.诱惑；引诱物
turnip|n.萝卜；芜菁；大头菜
caller|n.打电话的人；来访者；呼叫者
lesion|n.损害；损伤；障碍
fend|v.照料；挡开；[英口]供养
buttoned|adj.用钮扣装饰的；扣紧的
criticism|n.批评；评论
depth|n.深度；深刻；深奥；深；厚度
enthusiast|n.热心人；热衷者
ratty|adj.糟糕的；破烂的；卑鄙的；像老鼠的；鼠多的; adj.恼怒的
burners|炉
precaution|n.预防；预防措施
tock|n.托科鸟
amusement|n.乐趣，娱乐；消遣
pedestal|n.基架；底座；受人尊敬的地位; vt.搁在台上；颂扬
sprouted|adj.萌芽的；发了芽的
drilling|n.演练；钻孔
flex|v.弯曲；伸缩；屈曲; n.花线；弯曲；弹性
sculptor|n.雕刻家
rig|n.装备；帆具；服装；钻井架；钻塔; v.装配；装扮；临时赶造；操纵
shortstop|n.（棒球）游击手；游击手的位置
horsepower|n.马力(功率单位)
microphone|n.麦克风；扩音器
dugout|n.防空洞；独木舟；[棒、足]球员休息处；替补席
musk|n.麝香；麝
thoroughly|adv.彻底地；完全；非常
reluctant|adj.不情愿的；勉强的
tankers|油船
vapor|n.蒸汽；水蒸汽; v.蒸发；汽化
cod|n.鳕鱼; v.哄骗；愚弄
licence|n.执照；许可；特许；自由；放纵; vt.同意；许可
proved|v.证明(证明是；检验；勘探；证明；试印)
examiner|n.主考者；审查员
rapidly|adv.迅速地；很快地
awkwardly|adv.别扭地；拘谨地；尴尬地；笨拙地
limelight|n.众人注目的中心；聚光灯；以灰光灯照射的舞台; v.使受到注目
considerably|adv.非常地；相当地；颇
forlorn|adj.孤独的；凄凉的；渺茫的
nectar|n.花蜜；甜美的饮料；众神饮用的酒
bedside|adj.床边的；病床边的; n.床边
regularly|adv.有规律地；定期地
successfully|adv.成功地，圆满地
descend|v.下降；降临; v.传下来；遗传; v.突然袭击；突然拜访
helper|n.助手；帮手
clunk|n.沉闷的金属声；愚蠢乏味的人; v.发出沉闷声；打击某物（使）发出沉闷声地
sprout|v.长芽；萌芽；迅速成长; n.芽；年幼者
caterpillars|毛虫树
speedboat|n.快艇
tricycle|n.三轮车
padding|n.垫充；垫塞；填料；废话
polecat|n.臭猫；臭鼬类动物
equestrian|n.骑马者；骑术家; adj.骑马的；骑术的
boldly|adv.大胆地；显眼地
lop|v.剪去(树枝)；砍掉；削减；耷拉下来
mournful|adj.悲恸的；悲哀的；令人惋惜的
ajar|adj.微开的；半开的; adv.微开地；半开地
inspector|n.检查员；巡视员；巡官
myths|神话
ex|prep.【商】在...交货，在…前免费；从，自，根据；【经】不，无，不包括; n.已离婚的丈夫（或妻子），过去的情人；字母X；X形物; adj.以前的，旧时的
sac|n.囊；液囊
schoolyard|n.校园；运动场
suspicious|adj.可疑的；多疑的
oldies|n.老人
erect|vt.使竖立；建立；建造; adj.直立的；竖立的；笔直的
sleet|n.雨雪; v.下雨雪；下冰雹
happenings|n.事件；意外发生的事
