eights|八叠板,八层叠板
dominion|n.统治；主权；领土; Domimion：.; n.英联邦的自治领土
supporter|n.支持者；拥护者；支撑物
goatskin|n.山羊皮
dabble|v.喷洒；玩水；泼溅；涉猎；浅尝
demi|pref.半
tight|adj.紧的；紧身的；密集的；拮据的; adv.紧紧地；牢固地；迅速地
deaths|死亡人口
maker|n.制造者；制定者; Maker:上帝.
banquet|n.宴会; vi.参加宴会; vt.宴请；设宴
gross|adj.总的；粗鲁的；公然的；荒唐的；令人讨厌的; n.总量；总额; vt.总共赚得; adv.总共地
disk|n.圆盘；唱片；花盘；磁盘；盘形物
bloody|adj.流血的；血腥的；嗜杀的; vt.使流血; adv.[俚]非常
elegant|adj.优雅的；雅致的
disgusting|adj.令人厌恶的
blindfold|v.蒙住...的眼睛; n.蒙眼物；盲目; adj.被蒙上眼睛的
dedication|n.奉献；献词；献堂礼
divine|adj.神圣的；神的; vt.推断; vi.预言；理解; n.牧师；神学家
raging|adj.狂暴的；非凡的；熊熊燃烧的
droop|v.低垂；下垂；(草木)枯萎；(精神)萎靡; n.下垂；消沉
deck|n.甲板；层面；一副牌; vt.装饰；用力击倒
convert|v.(使)转变；使…改变信仰；转化；兑换；换算; n.皈依者；改变信仰的人
gasp|v.喘气；喘息；渴望; n.喘气
curdle|v.凝结；变稠; v.(使)结成凝乳；变成凝乳状
appetite|n.食欲；嗜好；欲望
gymnastics|n.体操
swimmer|n.游泳者
courier|n.送快信的；急差；旅行服务员
developing|adj.发展中的
footed|adj.有脚的；...脚的
efficiency|n.效率；功率
foul|adj.恶臭的；邪恶的；污秽的；恶劣的；犯规的; n.犯规; v.弄脏；妨碍；犯规
grin|v.露齿而笑；(以咧嘴笑来)表示; n.露齿笑；咧嘴笑
gruesome|adj.可怕的；令人毛骨悚然的；阴森的
budge|v.移动；妥协; n.羔皮; adj.浮夸的；庄严的
overtime|n.加班时间(加班加点费)；(比赛)延长时间; adv.在规定时间之外(超出时间地)
syrup|n.糖浆；甜而黏稠的汁液
frontal|adj.前的；正面的；额的; n.额饰；祭坛前面的罩巾；建筑物的正面；三角门楣
glint|n.闪烁; v.闪耀；闪闪发光
gravel|n.碎石; v.铺碎石；使困惑
gunman|n.持枪者；枪手；持枪歹徒；职业杀手
harness|n.马具；安全带；甲胄；系在身上的绳子; vt.束以马具；披上甲胄；利用；管理；控制
giggle|v.咯咯地笑; n.咯咯笑；趣事
doggy|n.小犬；小狗（=doggie）; adj.爱狗的；像狗一样的；摆阔的；低级的
bonding|n.形成的亲密关系；[牙]黏结
fisherman|n.渔夫；渔船
furious|adj.狂怒的；猛烈的
bald|adj.秃头的；单调的；无装饰的; v.（使）变秃头
fragment|n.碎片；片段; v.使破碎；分裂
deli|n.(=delicatessen)熟食店
desperate|adj.绝望的；不顾一切的；极其想要的
crocodile|n.鳄鱼
crown|n.王冠；王权；花冠；顶点；齿冠；克朗（丹麦、瑞典、捷克等国的货币单位）; vt.加冕；使...成王；居...之顶；镶齿冠；使圆满；打…的头部
dungeon|n.地牢；土牢；城堡主塔
freshly|adv.新近；刚才
goalie|n.(足球等运动的)守门员; =goalkeeper
distraction|n.分心；分心的事物；注意力分散；娱乐；消遣；发狂
rattle|vi.嘎嘎作响；喋喋不休; vt.使惊惶失措；使恼火；使作响；急促地谈讲; n.嘎嘎声；嘎嘎响的东西；拔浪鼓
gigantic|adj.巨大的
wool|n.羊毛；毛线；毛织品
unharmed|adj.没有受伤的；无恙的
flail|v.挥动；用连迦打；敲打; n.连迦
darkness|n.黑暗
creation|n.创造；创作
creator|n.创造者；[计]创建者; Creator.; n.上帝
demotic|adj.平民的；民众的；通俗的
drift|vi.漂流；漂移；吹积；漂泊；偏离; vt.使漂流；使堆积; n.漂流；趋势；漂泊
gut|n.内脏；肠子；羊肠线；胆量；勇气; vt.取出内脏；摧毁（内部）; adj.本能的；（问题等）根本的
faint|adj.微弱的；无力的；模糊的; v.昏倒; n.昏厥；昏倒
harmony|n.和谐；协调；调和；和声
drape|n.布帘；褶皱; v.用布帘覆盖；（使）呈褶裥状；悬挂
pillar|n.柱子；支柱；核心(人物); vt.用柱支持
gleam|v.闪烁；隐约地闪现; n.微光；闪光；闪现
gnaw|v.咬；折磨；侵蚀
demon|n.魔鬼；恶魔；精力充沛的人；高手
