roadway|n.车行道
daylight|n.日光；白昼；黎明
lover|n.情人；爱好者
proteins|蛋白质
coconut|n.椰子
sender|n.寄件人；发报机；送话器
bowler|n.玩滚球的人；投球手；圆礼帽
creamy|adj.含乳脂的；乳脂状的；奶油色的
celebration|n.典礼；宗教仪式；庆祝，祝贺
pirate|n.海盗；盗版者; v.盗版；抢劫；剽窃
unmarried|adj.未婚的；独身的; n.未婚者
scare|v.受惊吓；恐吓；吓走; n.惊吓；惊恐
telegraph|n.电报；电报机; vt.打电报；显示
credits|演职员名单
universal|adj.普遍的；全世界的；宇宙的；全体的；通用的; n.通用原理，普遍原则
buffalo|n.水牛；野牛；水陆坦克; vt.威吓；欺骗；迷惑
closest|adj.最靠近的
explorer|n.探测者；探险者
fain|adv.乐意地；欣然地; adj.愿意的；乐意的；勉强的
mosques|清真寺
grassy|adj.长满草的；草绿色的；像草的
sacred|adj.神圣的；受尊重的
grownup|n.成人
self-defense|n.自卫；[法]正当防卫
politically|adv.政治上地
fist|n.拳头; vt.紧握；用拳头打
usu|adj.通常的；普通的；常见的；惯例的；正规的; adv.通常；平常；一般
lightweight|adj.轻量级的；无足轻重的；比较轻的; n.轻量级拳击运动员；无足轻重的人或物；轻便
carvings|雕刻品
pillar|n.柱子；支柱；核心(人物); vt.用柱支持
missy|n.小姐；姑娘；少女
finale|n.终曲；结局
twinkle|vi.闪耀；闪烁；眨眼；轻快移动; vt.使闪耀; n.闪烁；闪耀；眨眼；瞬息
thereafter|adv.其后；从那时以后
bossy|adj.专横的；爱发号施令的; n.母牛或者小牛
extinguisher|n.灭火器；熄灭者；消除器
parade|n.游行；检阅；游行地; vi.参加游行；阅兵；散步；炫耀; vt.夸耀；使参加游行；检阅；绕行
stormy|adj.暴风雨的；激烈的；粗暴的
jolt|n.震摇；摇动；震惊；少量; vt.颠簸；敲击；动摇；震动; vi.颠簸而行
enforce|vt.强迫；强制；实施；执行；加强
emergency|n.突发事件；紧急状态; adj.应急的；紧急的；备用的
shed|vt.除掉；使脱落；使流出；使清晰; n.小屋；车棚
climbers|脚扣
hike|n.徒步旅行；远足；涨价; vi.远足；提高
twenty-nine|num.二十九
colleges|高校
desertion|n.开小差；遗弃；潜逃
inti|monetaryunitofPeru秘鲁货币单位；n.；英蒂(1985&#8212;1990年秘鲁货币单位)
ace|n.幺点；好手；高手；发球得分; adj.一流的；卓越的; vt.发球得分；考试中取得好成绩
tin|n.锡；罐头；听头; adj.锡制的; vt.镀锡于
uninterested|adj.不感兴趣的
crack|v.破裂；砸开；发出爆裂声；撞击；破解；变嘶哑；崩溃；制裁；开玩笑; n.裂缝；裂痕；爆裂声；猛击；尝试；俏皮话; adj.训练有素的
bet|v.打赌；确信无疑; n.赌注；确信
jury|n.陪审团；评委会; adj.临时用的; vt.挑选
kindergarten|n.幼儿园
bees|蜜蜂
darcy|n.达西(多孔介质渗透力单位)
patera|n.插座(接线盒)
yemeni|adj.也门的; n.也门人
spectacular|adj.壮观的；令人惊叹的; n.壮观；豪华节目
