burial|n.埋葬；葬礼；坟墓
betcha|int.当然；真的；的确！; =betyou.
harmony|n.和谐；协调；调和；和声
threaten|v.威胁；恐吓；似将发生
afterlife|n.来世；后来的岁月
gross|adj.总的；粗鲁的；公然的；荒唐的；令人讨厌的; n.总量；总额; vt.总共赚得; adv.总共地
buddy|n.伙伴；兄弟；好朋友; vi.结交
bog|n.沼泽; v.使...陷于泥沼；陷于困境
mythical|adj.神话的；虚构的；杜撰出来的
chipmunk|n.[动]花栗鼠
ambrosia|n.神的食物；特别美味的食物
barque|n.三桅船；轻舟
maple|n.【C】枫树；槭树; n.【U】枫树干
blade|n.刀刃；刀锋；桨叶；叶片
rhythmic|adj.有节奏的；有韵律的
bloodstained|adj.染着血的；犯杀人罪的
gunman|n.持枪者；枪手；持枪歹徒；职业杀手
ceiling|n.天花板；上限
gut|n.内脏；肠子；羊肠线；胆量；勇气; vt.取出内脏；摧毁（内部）; adj.本能的；（问题等）根本的
swoop|v.抓取；猛扑；突然袭击; n.俯冲；攫取；突然袭击
sword|n.剑；刀
mortality|n.死亡率；死亡数目；必死性
shepherd|n.牧羊者；牧师；指导者; v.牧羊；照看；引领
exhausted|adj.用完的；精疲力竭的
nameless|adj.无名的；匿名的；不可名状的
blacksmithing|n.锻造，手工锻造
ankle|n.踝；踝关节
amazement|n.惊愕；惊异
ahoy|int.喂（用来呼叫船或人）
aviator|n.飞行员
charm|n.魅力；吸引力；迷人；美貌; v.（使）着迷；施魔法
clench|v.紧握；紧咬；牢牢地抓住；确定; n.牢牢抓住；钉紧
legendary|adj.传说的；传奇的；著名的
cautiously|adv.慎重地；谨慎的
brewski|n.啤酒；一瓶啤酒
moan|n.呻吟声；抱怨声; vt.抱怨；呻吟; vi.呻吟；抱怨
stench|n.臭气；恶臭
beautifully|adv.美丽地；完美地；出色地；很好
stall|n.栅栏；小隔间；货摊；座位; v.把...关进畜舍里；失速；熄火；拖延；（使）动弹不得
fiercely|adv.猛烈地；厉害地
clicking|n.微小静电干扰声
gymnastics|n.体操
hurl|v.用力投掷；愤慨地说出；丢下
awaken|v.醒；意识到；唤醒；激起；使意识到；使唤醒
behold|vt.看到；注视；领悟; vi.看；看啊(多用于祈使句；引起人的注意)
whistle|n.口哨；汽笛；警笛; v.吹口哨；鸣汽笛；呼啸；吹口哨召唤
binding|n.镶边；（书籍的）封皮；（滑雪板的）皮靴固定装置; adj.必须遵守的；有法律约束力的
courageous|adj.勇敢的；有勇气的，有胆量的
gruesome|adj.可怕的；令人毛骨悚然的；阴森的
spitting|n.吐出(逆火；点燃导火线)
timber|n.木材；木料
grin|v.露齿而笑；(以咧嘴笑来)表示; n.露齿笑；咧嘴笑
armful|n.一抱之量
maniac|n.疯子；热衷者；躁狂者
aw|int.表示抗议、怀疑、厌恶等的感叹语
smooth|adj.光滑的；平稳的；流畅的；圆滑的；可口的；安祥的；均匀的; v.使光滑；消除；安慰；理顺(羽毛)
aphrodite|n.北美豹蝶; Aphrodite.; n.阿佛洛狄忒（爱与美之女神）
architect|n.建筑师; n.【喻】缔造者；创造者
stable|adj.稳定的；安定的；可靠的; n.马棚；马厩；一批人; v.使（马）入厩；入马棚
avenge|vt.为...报复；报仇
dire|adj.可怕的；悲惨的；极其的
heal|vt.治愈；使恢复健康；使和解; vi.痊愈
bleat|n.羊的鸣声；哀鸣; v.发出羊叫声；哀鸣；哭诉
granny|n.奶奶
administrator|n.管理人；行政官
builder|n.建设者；建筑工人；促进剂；增洁剂
sheriff|n.郡治安官；郡长
bestow|v.授予；给予；使用；放置
cigar|n.雪茄烟
sunglasses|n.墨镜；太阳镜
bundle|n.捆；束；包；大笔钱; v.捆；把...扎成一捆；匆忙地走
charitable|adj.仁慈的；(为)慈善事业的；宽恕的
adrift|adv.漂流地；漫无目的地; adj.漂泊的；漫无目的的；松开的
clan|n.氏族；宗族；党派
announcer|n.广播员；告知者
circus|n.马戏团；马戏表演；竞技场；广场
baboon|n.狒狒
eternally|adv.不朽地；永久地
bang|n.巨响；重击；刘海; v.重击；大声敲；剪成刘海；突然巨响; adv.正好地；准确地
arrow|n.箭；箭头
cellar|n.地窖；地下室; vt.把...藏入地窑
badger|n.獾；獾皮(毛); Badger:獾州人(对威斯康星州人的昵称).; v.纠缠；一再烦扰；吵着要
bravely|adv.勇敢地
await|v.等候；期待；将降临于
yo|int.唷(水手拉绳时一道发出的叫声)
mellow|adj.成熟的；醇的；熟练的; v.（使）变熟，（使）柔和
hitch|n.猛拉；急促猛推；跛行；妨碍；免费搭车; vt.拴住；连住；急拉；拉紧；免费搭车; vi.蹒跚；被缠结；免费乘车
badminton|n.羽毛球
churn|n.搅乳器; v.搅拌；搅动；翻腾；〈口〉粗制滥造
arc|n.弧；弧形物; vi.形成电弧；按弧形轨迹行进
relative|adj.相对的；比较的；相关的; n.亲戚；[语]关系词
mischief|n.淘气；恶作剧；捣蛋鬼；损害；伤害
slumber|n.睡眠；微睡；休止状态; v.睡觉；打盹；静止；休眠
brigade|n.旅；队；组; vt.组队；编组
cha|n.茶
chill|v.(使)变冷；(使)扫兴；[冶]冷淬; n.寒冷；扫兴；寒心；着凉; adj.冷淡的；寒冷的
bronze|n.青铜；青铜色；青铜制品；铜牌; adj.青铜制的；青铜色的; vt.使成青铜色
stroll|n.闲逛；漫步; v.闲逛；漫步
summon|vt.召唤；召集；振奋
cannonball|n.炮弹；抱膝跳水；高速列车；炮弹式发球; v.以极快速度移动；抱膝跳水
