seaside|n.海边; adj.海边(的)；海滨(的)
nap|n.小睡；绒毛；纳普牌; vi.打盹；疏忽
thoughtful|adj.深思的；体贴的
criminals|罪犯
judicial|adj.司法的；法庭的；公正的；审判上的
reserve|vt.保留；预订；延期; n.候补；预备品；贮存; n.含蓄；克制
excitedly|adv.激动地；兴奋地
grand|adj.重大的；豪华的；宏伟的；壮丽的; n.大钢琴；一千美元
platform|n.月台；讲台；平台；站台；(政党的)政纲
tug|n.用力拉；拖船; v.用力拉
invincible|adj.不可征服的；不能战胜的
indoor|adj.户内的；室内的
outline|n.大纲；轮廓; vt.概述；画出轮廓
boar|n.野猪；公猪
eerie|adj.怪诞的；可怕的；奇异的；害怕的
technically|adv.技术上；学术上；严密地
spoiling|n.钢的碳化物分解变坏
bait|n.饵；引诱; v.以饵引诱；逗弄；中途休息
salads|沙拉
habitats|生境
competitors|竞争对手
sleeper|n.睡眠者；枕木；卧铺；爆冷门；耳环
gladly|adv.高兴地；乐意地
preacher|n.传道者；讲道者；牧师
collectors|集合管
limp|n.跛行; adj.柔软的；无力的；软弱的; vi.跛行；蹒跚
sheet|n.被单；纸；(薄)片；一片; n.[船]帆脚索; v.铺盖；使成片; adj.片状的
raft|n.筏；木排；救生艇; n.大量; v.乘筏；制成筏
goalkeeper|n.守门员; =goaltender(美).
historical|adj.与历史有关的
shed|vt.除掉；使脱落；使流出；使清晰; n.小屋；车棚
democracy|n.民主国家；民主；民主制
fog|n.雾；朦胧；迷惑; v.以雾笼罩；使模糊；迷惑
similarity|n.相似；类似
stomp|vt.跺（脚）；重踏; n.跺脚舞；顿足爵士舞乐曲
thee|pron.[古]你；汝；你自己
carriers|载体
ditch|n.沟渠；壕沟; vt.丢弃；坠入沟中；飞机（在海上）迫降; vi.挖渠；飞机紧急降落
sweat|n.汗水; n.焦急；繁重工作；(凝结在物体表面的)水珠; v.(使)出汗
condensation|n.浓缩；凝结；液滴
waterways|n.排水沟
weave|v.编织；组合；编造；迂回前进; n.编法；织法；编织
parallel|adj.平行的；相同的；类似的；并联的; n.对比；平行线(面)；双杠；相似物; vt.相比；相应；与...平行
kindness|n.仁慈；好意；友好的行为
swell|v.（使）膨胀；（使）鼓起；（使）增长; n.增大；膨胀；肿胀；汹涌; adj.很棒的；时髦的；一流的
closet|n.壁橱；衣帽间；密室；厕所; adj.隐藏的；不公开的；空谈的; vt.把...关在房间里
owners|业主
itch|n.痒；渴望；疥癣; v.（使）痒；渴望
hint|n.暗示; v.暗示；示意
lightweight|adj.轻量级的；无足轻重的；比较轻的; n.轻量级拳击运动员；无足轻重的人或物；轻便
beer|n.啤酒
boast|v.自夸；吹牛；以...为荣; n.自夸；引以为荣的事物
loaf|n.（一条）面包；块; vi.游手好闲；虚掷光阴
eve|n.（重大节日的）前夜；前夕; Eve.; n.夏娃（圣经中的第一个女人）
shred|v.撕成碎片; n.碎布条；细片；少许
instantly|adv.立即地；即刻地
relaxation|n.消遣；松弛；放松
tuck|v.打摺；卷起；收拢；藏起；大吃; n.缝摺；船底后端；食品
hairy|adj.多毛的；长毛的；令人恐怖的；难对付的
suck|vt.啜；吸入；吸收; vi.吸；吸收；奉承；烂; n.吸吮；吸力
mummy|n.木乃伊; n.妈妈（=mommy）
heroic|adj.英雄的；英勇的；巨大的
mitzvah|n.（犹太教）戒律；德行
floppy|adj.松软的；懒散的; n.软盘(=floppydisk)
sailors|海员
maze|n.迷宫；曲径；迷惑; vt.使迷惑
chamber|n.室；会议厅；房间; adj.【音】室内的，小型的；私人的，秘密的
deadline|n.最后期限；(鉴于边上的)警戒线；截止时间
proudly|adv.傲慢地；自大地；得意洋洋地
magistrate|n.地方法官；行政官
loot|n.掠夺品；赃物；钱; v.掠夺；洗劫
pup|n.小狗；小海豹；小伙子
stitch|n.一针；疼痛；碎布条; v.缝合
driveway|n.(住宅前的)车道
sickness|n.疾病；呕吐
barge|n.驳船; vi.猛撞；冲；闯; vt.以驳船载运
grab|v.抓住；攫取; n.抓取物；抓
faithful|adj.忠诚的；忠实的；忠贞的
pledge|vt.发誓；保证；以...抵押；向...祝酒; n.保证；抵押；誓言；抵押品
independence|n.独立；自立
rulers|尺子
sticker|n.贴纸；粘附物；固执的人；尖刺
tails|n.(硬币的)反面
sly|adj.狡猾的；会心的；淘气的；诡异的
curl|n.卷曲；卷发；年轮；漩涡；[足]曲线球; vt.弄卷；使弯曲; vi.变卷；弯曲
waterfall|n.瀑布
drain|v.排出；排干；喝光；耗尽; n.下水道；消耗
specialty|n.专业；专长；特别；特产；特性
movements|n.动作
eyed|adj.眼的（常用于合成词）
hardworking|adj.努力工作的；勤奋的
stroke|n.中风；击打；一笔（画）；意外的运气; v.击打; v.轻抚；奉承
goose|n.鹅；鹅肉；雌鹅；笨蛋；长柄熨斗
non|adv.[拉]非；不是
oral|adj.口头的；口部的；口语的; n.口试
tin|n.锡；罐头；听头; adj.锡制的; vt.镀锡于
toad|n.蟾蜍；癞蛤蟆
explosion|n.爆炸；爆炸声；激增；爆发
sorts|n.种类; 分类.
sediment|n.沉淀物
