goody|n.想要的东西；甜食；伪善者；身份低微之老妇; int.这实在太好了
offense|n.过错；冒犯；触怒；犯规；犯罪；进攻
kingdoms|王朝
witch|n.女巫；巫婆; vt.施巫术; vi.用神杖发现地下水源或矿物
mantle|n.斗篷；覆盖物；墙的外皮；（汽灯的）纱罩；[地]地幔; v.覆盖；笼罩；脸红
alley|n.胡同；巷；跑道；球道
stretched|拉伸的
dart|n.飞镖；投射；突进；缝褶; vi.快速投掷；突然移动; vt.使突然移动
frightened|adj.受惊的
stiff|adj.硬的；僵直的；艰难的；生硬的；拘谨的；烈性的; adv.极其；僵硬地; n.死尸；流浪汉；过于拘谨的人；吝啬鬼；醉鬼
core|n.核心；果心；要点; vt.挖去果核
dash|v.猛冲；猛掷；泼溅；匆忙完成; n.破折号；短跑；猛冲；冲
porch|n.门廊
cycling|n.骑自行车
whirlpool|n.漩涡; Whirlpool.; n.惠尔普（美国电子电气公司)
landowner|n.地主；土地所有者
sadly|adv.悲哀地；遗憾的是；极为
paddle|n.桨；划桨；明轮翼; v.划桨；戏水；抚弄
pillow|n.枕头; vt.枕；搁；垫
pea|n.豌豆
honesty|n.诚实；正直
widen|vt.加宽；使变宽；扩大; vi.变宽
lightweight|adj.轻量级的；无足轻重的；比较轻的; n.轻量级拳击运动员；无足轻重的人或物；轻便
loot|n.掠夺品；赃物；钱; v.掠夺；洗劫
crack|v.破裂；砸开；发出爆裂声；撞击；破解；变嘶哑；崩溃；制裁；开玩笑; n.裂缝；裂痕；爆裂声；猛击；尝试；俏皮话; adj.训练有素的
mitzvah|n.（犹太教）戒律；德行
imagination|n.想象；想象力；空想；幻想
sacks|n.(纸；麻；帆布质的)大袋子；一袋的分量; 宽松的短上衣; 睡袋；吊床; (棒球)垒；(橄榄球)成功擒抱四分卫; 解雇; vt.把...装进袋子；解雇；(橄榄球)擒抱四分卫
wrestle|v.摔跤；斗争；努力解决；斟酌; n.摔跤比赛；格斗
ballet|n.芭蕾舞
specialty|n.专业；专长；特别；特产；特性
ditch|n.沟渠；壕沟; vt.丢弃；坠入沟中；飞机（在海上）迫降; vi.挖渠；飞机紧急降落
wit|n.智力；才智；机智；风趣; v.知道；即
woodsy|adj.森林的；像森林的
peacefully|adv.平静地；和平地
fuse|n.保险丝；导火线；引线; vt.熔化；融合；装导线；装引信于; vi.熔化；融合
necklace|n.项链
disagreement|n.不合；争论；不一致
relaxation|n.消遣；松弛；放松
librarian|n.图书管理员；图书馆学专家；图书馆馆长
fin|n.鳍；鱼翅；鳍状物；散热片；五元纸币
creepy|adj.(使人)毛骨悚然的；怪异的
wildly|adv.狂热地；激动地；剧烈地；轻率地；鲁莽地
twinkle|vi.闪耀；闪烁；眨眼；轻快移动; vt.使闪耀; n.闪烁；闪耀；眨眼；瞬息
owners|业主
movements|n.动作
trustworthy|adj.可信赖的
skilled|adj.有技能的；熟练的
credits|演职员名单
excitedly|adv.激动地；兴奋地
cockroach|n.蟑螂
dancer|n.跳舞者；舞蹈演员
quote|v.引述；报价；举证; n.引用
canary|n.金丝雀；加那利舞；加那利白葡萄酒；告密者
socialist|adj.社会主义的; n.社会主义者
wedding|n.婚礼；结合
pa|n.爸爸
recreate|v.再创造；使得到休养；得到消遣；休息娱乐
fountain|n.喷泉；源泉；储水容器；泉水; v.使像喷泉一样流
lightly|adv.轻轻地；轻快地；轻蔑地；轻率地；轻微地
topical|adj.谈论的；时事问题的；局部的
separately|adv.分别地；个别地；独立地；分开地
traveler|n.旅行者(移式起重机；导丝钩；临时记帐单)
goddess|n.女神；受崇拜的女性
motorcycles|摩托车
nervousness|n.神经紧张；情绪不安
pee|n.小便; vi.小便
wilderness|n.荒野；荒地
digest|n.摘要; vt.消化；理解; vi.消化
define|v.规定；限定；定义；解释
whopper|n.特大之物；弥天大谎
fictional|adj.虚构的；小说的
betray|vt.背叛；出卖；泄露；显露
seaside|n.海边; adj.海边(的)；海滨(的)
sled|n.雪撬
raft|n.筏；木排；救生艇; n.大量; v.乘筏；制成筏
mailman|n.邮差；邮递员; =postman（英）.
dome|n.圆屋顶；苍穹；脑袋；圆形的火山口; vt.加圆屋顶于...上；使成圆屋顶; vi.成圆顶状
roughly|adv.粗略地；大约；粗暴地；粗糙地；粗鲁地
banner|n.横幅；旗帜；大标题; adj.杰出的；特别好的; vt.用横幅装饰；以大标题报道
instantly|adv.立即地；即刻地
compound|n.化合物；复合词；复合物; n.院子(用围墙圈起来的场地）; adj.化合的；【语】（词语等）复合的；【植】复合的；【动】群体的; vt.混合；调合；使严重；私了；【经】以复利计算; vi.妥协
shred|v.撕成碎片; n.碎布条；细片；少许
hamburgers|n.麦当劳公司的股份(证券；纽约B364证券交易市场行业用语)
powerfully|adv.非常地；强有力地
wax|n.蜡；蜂蜡; vt.(用蜡)涂; vi.变圆
sly|adj.狡猾的；会心的；淘气的；诡异的
wreck|v.使…失事；使…遇难；破坏; n.遇难；残骸；破坏；（船）失事下沉
airlines|n.航空公司
whinny|n.马嘶声；嘶声; v.嘶；以嘶声表示
silently|adv.沉默地；寂静地
mummy|n.木乃伊; n.妈妈（=mommy）
itch|n.痒；渴望；疥癣; v.（使）痒；渴望
magistrate|n.地方法官；行政官
mighty|adj.强大的；巨大的; adv.很；极其
rip|v.撕裂；扯开; n.裂口；裂缝；撕裂
thickly|adv.厚厚地；浓密地；声音沙哑地
mill|n.磨坊；工厂；磨粉机; v.碾碎；磨；（使）乱转
lifeguard|n.救生员
confusion|n.惶惑；混淆；混乱；不确定状态
