strategy|n.策略；战略
wheel|n.方向盘；车轮；旋转；周期; vi.旋转；转动；改变方向; vt.用车运；转动；给...装轮子
turtle|n.高翻领；【动】龟，海龟; v.倾覆，翻身；捕龟
Paris|n.巴黎；重楼（百合科植物）；帕里斯（姓氏）
senator|n.参议员
graphic|adj.生动的；图表的; n.图表
unpleasant|adj.使人不愉快的；讨厌的；不合意的；不友好的，粗鲁的
going|n.去；离去；地面(或道路)的状况；进展; (复)goings:行为.; adj.运转中的；营业中的；现有的；流行的
approximately|adv.大约；近似地
program|n.节目；计划；程序；课程；节目单; vt.编制程序；安排；指定
reconnaissance|n.侦察；勘察
tourist|n.旅游者；二等舱; adj.观光的；乘坐二等舱的
ingenuity|n.心灵手巧；独创性；精巧
high-tech|n.高科技; adj.高科技的; =hi-tech.
surround|vt.包围；环绕; n.环绕物
sol|n.C大调音阶中的第五音；索尔（秘鲁的货币)；溶胶
glitch|n.小故障；小失误
laboratory|n.实验室
charges|n.费用
engineer|n.工程师；机(械)师; vt.设计；建造；策划
sharpen|vt.使尖锐；磨快；加剧; vi.变尖锐
creating|vbl.创造；建造；把...列为
forces|n.军队
rim|n.边；框; vt.镶边; vi.形成边缘
bubble|n.气泡；泡影; v.起泡；冒泡；充满...感情
infinitive|n.不定式
scientist|n.科学家
thief|n.贼；小偷
quarrel|n.吵架；争论；怨言; vi.吵架；争论；挑剔
solar|adj.太阳的；太阳能的
fuel|n.燃料；刺激因素; vt.供以燃料; vi.加燃料
flyer|n.飞行员；传单；投机; =flier.
breakfast|n.早餐; v.吃早餐；用早餐
propulsion|n.推进；推进力
approach|v.靠近；接近；接洽；要求；达到；动手处理; n.途径；方法；接近；接洽；要求；路径；进场着陆；相似的事物
storm|n.暴风雨; v.起风暴；猛攻；暴怒；捣毁
labor|n.工人；劳工；工作；分娩；劳力; v.苦干；劳动；致力于；过分详尽阐述; adj.劳工的；劳动的
accept|vt.接受；同意；承担(责任等); vi.接受
manager|n.经理；管理者；管家
lifetime|n.一生；终身；寿命；使用期限
sojourner|n.逗留者；旅居者
specific|adj.明确的；特殊的；具有特效的; n.特效药；详情；特性
interested|adj.感兴趣的；有利害关系的
historic|adj.有历史意义的；历史的
medium|adj.中等的；适中的; n.手段；媒介；媒体
technical|adj.技术的；专业的；工艺的
sending|发送；派遣
crisp|adj.脆的；干脆的；卷曲的；明快的；(天气)干冷的; n.薯片；松脆物; v.(使)发脆；(使)卷曲
thinner|n.稀释剂; adj.较薄的；较瘦的
belly|n.腹部; v.膨胀
install|vt.安装；安置；使...就职
hole|n.洞；孔；穴；漏洞；困境; v.挖洞；掘坑；进洞
hallway|n.过道；门厅；走廊
fabric|n.结构；织物；构造
interpretation|n.解释；翻译；阐释；(艺术的)演绎
optimistic|adj.乐观的；乐观主义的
universe|n.宇宙；万物；世界
handle|v.处理；对待；操作；触；买卖; n.把手；柄
thrust|v.刺；插入；推挤; n.刺；推力；要旨
cream|n.奶油；乳酪；面霜；精华；米色; v.凝成乳脂；起泡沫；撇去乳脂；提取精华；使成糊状；涂面霜；彻底打败
wooden|adj.木制的；生硬笨拙的
sharp|adj.锋利的；突然的；灵敏的；明显的；辛辣的；【音】升音阶的; adv.准时地；突然地；偏高地
tendency|n.趋势；倾向；秉性
craft|n.工艺；手艺；狡诈；船舶；航空器；行会成员; vt.手工制作；精心制作
