mare|n.母马；母驴；(月球等)表面阴暗处
fig|n.[植]无花果；无花果树；无价值的东西；少许; n.服装
wriggle|n.蠕动；蜿蜒; v.蠕动；扭动；蜿蜒前进；设法摆脱
polish|n.光泽；上光剂；优雅；精良; v.擦亮；磨光；推敲；完善; Polish.; adj.波兰的；波兰人的；波兰语的; n.波兰语
bacon|n.培根；咸肉；熏肉
unfortunately|adv.不幸地；遗憾地
motion|n.移动；动作；打手势；示意；提议；大便; v.示意；运动；向...打手势
funnel|n.漏斗；漏斗状物；烟囱; vt.使成漏斗状；使经过漏斗; vi.形成漏斗状；经过漏斗
smash|v.打碎；粉碎；猛撞; n.破碎；撞击；轰动的演出；[网球]高压扣球; adj.极为成功的
lorry|n.卡车
tarantula|n.狼蛛；多毛毒蜘蛛
vicar|n.(教区或教堂)牧师；代理人
carelessly|adv.粗心大意地；疏忽地
greed|n.贪心；贪婪；贪吃
harden|v.(使)变硬；(使)坚强
eggshell|n.蛋壳；蛋壳漆(干后平滑无光); adj.薄而易碎的；略有光泽的；淡黄褐的
bowler|n.玩滚球的人；投球手；圆礼帽
slay|vt.杀害；残杀；使大笑
reception|n.接待；反应；接待处；欢迎；接收；招待会
sterling|adj.英币的；纯银制的；纯正的；优秀的; n.英国货币；标准纯银；银制品
wedge|n.楔子；楔形物; vt.楔住；嵌；挤进
cigarettes|卷烟
copper|n.铜；铜币；警察；紫铜色；有紫铜色翅膀的小蝴蝶; vt.镀铜
progressive|adj.先进的；前进的；渐进的；革新的(音乐上的）; n.进步分子；革新主义者
honeycomb|n.蜂窝；蜂窝状物; v.使布满小孔；成蜂窝状
rifle|n.步枪; v.洗劫；抢劫
grooming|n.修饰；美容；（动物）梳理毛发
snowball|n.雪球；打雪仗；滚雪球式的募捐法; v.向...丢雪球；使生长或快速的增长
mattress|n.床垫
sooner|n.抢先占地的人; adv.比预期早; Sooner.; 美国俄克拉荷马州的别名.
nearest|adj.最近的
radical|adj.激进的；彻底的；基本的; n.激进分子
transition|n.转变；过渡
telescope|n.望远镜; v.缩短；压缩；套叠
raw|adj.未加工的；生的；原始的；湿冷的; n.触到某人的痛处
ornament|n.装饰；装饰物; vt.装饰
unkind|adj.不和善的；无情的；不厚道的
meantime|adv.与此同时; n.同时；其间
raggedy|adj.有些破的；有些参差不齐的；有些刺耳的
fleece|n.羊毛；一次剪得的羊毛；羊毛状物; v.欺诈
actresses|女性优伶
roar|v.吼叫；咆哮; n.吼声；咆哮；轰鸣；喧闹
removal|n.移动；搬迁；除去；开除
practicing|adj.开业的；在工作的
tankers|油船
temptation|n.诱惑；引诱物
revenge|n.报仇；报复；报复心；雪耻机会; vt.报复；报仇
competitor|n.竞争者；对手
colds|n.感冒
temporarily|adv.暂时地；临时地
buttoned|adj.用钮扣装饰的；扣紧的
clunk|n.沉闷的金属声；愚蠢乏味的人; v.发出沉闷声；打击某物（使）发出沉闷声地
infant|n.婴儿；幼儿; adj.婴儿的；初期的；幼稚的
lop|v.剪去(树枝)；砍掉；削减；耷拉下来
peasants|农民
accompany|vt.陪伴；伴随...发生；补充；给...伴奏; vi.伴奏
flagpole|n.旗竿; =flagstaff.
yolk|n.蛋黄
awkwardly|adv.别扭地；拘谨地；尴尬地；笨拙地
jury|n.陪审团；评委会; adj.临时用的; vt.挑选
campfire|n.营火；篝火；篝火晚会
thoroughly|adv.彻底地；完全；非常
highlight|vt.强调；照亮；加亮；使...显得重要；使突出; n.加亮区；精彩部分；最重要的细节或事件；闪光点; [计算机]醒目
sunup|n.日出
amusing|adj.有趣的；引人发笑的
sac|n.囊；液囊
bet|v.打赌；确信无疑; n.赌注；确信
patriotic|adj.爱国的
nee|adj.娘家姓...的
drily|adv.幽默而不形于色地；冷淡地；干燥地
unnatural|adj.不自然的；反常的；不近人情的
parasite|n.寄生虫；寄生生物；食客
packing|n.包装
skyscrapers|摩天楼
cucumbers|黄瓜
stepsister|n.异母(或异父)的姐妹
chime|n.鸣；钟；和协; v.鸣；打；和协
overboard|adv.自船上落下；在船外
wasp|n.黄蜂；胡蜂
chin|n.颏；下巴; v.聊天；作引体向上
collapse|v.（使）倒塌；（使）崩溃；（使）瓦解；折叠; n.倒塌；崩溃；暴跌
truthful|adj.诚实的；真实的
inlet|n.水湾；入口；插入物; vt.引进；插入
disguise|vt.掩饰；假装；假扮; n.伪装；伪装物
faulty|adj.有缺陷的；不合格的；有错误的；有缺点的
critic|n.评论家；批评家
frightful|adj.可怕的；吓人的
visitor|n.参观者；访问者；访客
caution|n.警告；慎重；戒备；吸引人眼球的人或物; vt.警告；劝告
tracer|n.追踪者(器)；示踪物；曳光弹；[化]示踪剂
foreigner|n.外国人；外人
kennel|n.狗舍；养狗场；排水道; v.置于狗舍；宿于狗舍
miserable|adj.痛苦的；悲惨的；贫乏的；狼狈的
blurt|vt.冲口说出；突然说出
embassy|n.大使馆；大使全体人员
enormous|adj.巨大的；庞大的
butcher|n.屠夫；刽子手；肉商；小贩; vt.屠宰；滥杀；将某事弄得一团糟
accustomed|adj.习惯了的；通常的
acquire|vt.获得；学到；取得
whimper|n.呜咽；啜泣；怨声; v.呜咽；啜泣；抽噎地哭；抱怨
archery|n.箭术
sociable|adj.好交际的；社交的
pony|n.小马；小型的东西; v.付清
warriors|武士
farewell|int.再会；别了; n.告别; adj.告别的
neat|adj.整洁的；简洁的；利索的; adv.整洁地；利索地
explosive|adj.爆炸(性)的；引发争论的；大声的; n.炸药
musical|adj.音乐的；喜欢音乐的；悦耳的; n.音乐片
sturgeon|n.鲟鱼
judo|n.柔道
restored|adj.恢复的
woolen|n.毛制品; adj.羊毛的；羊毛制的；毛织的
snowman|n.雪人
gymnast|n.体操运动员
barrel|n.桶；枪管；一桶的量；炮管；大量；笔管；汽油桶; vi.快速移动; vt.把...装桶
receiver|n.听筒；接收器；收款员；接受者；破产管理官
enabled|adj.可激活的；已启用的
beggar|n.乞丐；穷人；【英】家伙; vt.使贫穷；使不足；使不能
quilt|n.被状物；被子; v.缝被；缝制；用垫料填塞
ragged|adj.衣衫褴褛的；粗糙的；刺耳的；（外形）不规则的；不完美的
jumbo|n.喷气式飞机; adj.特大的
sideways|adv.向旁边；斜着地；向侧面地; adj.旁边的；斜着；向侧面的
ostrich|n.驼鸟；驼鸟般的人
accomplishment|n.成就；完成
latch|n.门闩；碰锁；弹簧锁; v.上闩；缠着；明白
blog|n.博客；网络随笔；日志
nobleman|n.贵族
critics|评论家们
lever|n.杠杆；控制杆；手段; v.撬开；使用杠杆
lunchtime|n.午餐时间
tune|n.曲调；调子；和谐；协调；数量; vt.为...调音；调整; vi.调音；调整频率
hairless|adj.无毛的
employer|n.雇主
hostess|n.女主人；空姐；女主持
zipper|n.拉链; v.拉上拉链
coastal|adj.沿海的；海岸的；沿岸的
ventilation|n.通风；通风设备；充气；公开讨论
lanterns|灯具
propeller|n.螺旋桨；推进器; =propellor.
cowboy|n.牛仔
excursion|n.远足；短途旅行；【物】偏移，漂移，偏离；偏差，偏振
porcupine|n.豪猪；箭猪
drown|vi.淹死; vt.淹死；淹没
clicker|n.发咔哒声者（如电脑鼠标或遥控器等）；鞋匠工头；排字工头；站店外招徕顾客者
glare|n.闪耀光；刺眼; v.发眩光；瞪视
groan|v.呻吟；抱怨；发嘎吱声；受重压; n.呻吟；呻吟声
unload|vt.卸下；卸货；摆脱...之负担；(大量)倾销；退出（弹药；胶片等）; vi.卸下货物；摆脱负担
bulldozer|n.推土机；欺凌者
courtyard|n.庭院；院子
penalty|n.处罚；惩罚；不利；罚球
sympathetically|adv.同情地；表示好感地
sew|v.缝合；缝纫
loyalty|n.忠诚；忠心；忠贞
crawfish|n.小龙虾
puck|n.冰球；橡胶圆盘；小淘气
liberty|n.自由；自由权；冒失
grassy|adj.长满草的；草绿色的；像草的
doghouse|n.狗舍
terrify|v.使害怕；使恐怖；威胁
lowland|n.低地; adj.低地的; Lowland.; n.苏格兰低地
confine|vt.限制；禁闭; n.范围；界限；约束；限制
formations|群系
sagebrush|n.山艾(美国西北荒漠产的一种灰绿色灌木)
gust|n.突然一阵; n.风味; vi.猛吹
occasion|n.场合；时机；理由；机会；盛大场面; vt.引起；致使
prance|v.腾跃；欢跃；昂首阔步; n.(马)后足立地腾跃；昂首阔步
stockings|n.长袜
airfield|n.飞机场
pastry|n.面粉糕饼；馅饼皮
camping|n.野营；露营
fluff|n.软毛；绒毛；无价值物；失误; v.（使）变柔软；搞糟；忘词
pipe|n.管子；烟斗；管乐器; vt.以管输送；装管道；吹奏；尖声说；(为衣服等)滚边; vi.吹奏管乐；尖叫
whiz|n.飕飕声；飕飕掠过；专家；奇才；能手; v.（使）飕飕作响; =whizz
palaces|宫城
diver|n.跳水者；潜水员
nasty|adj.下流的；严重的；令人不快的；难懂的；危害的
unimaginative|adj.（艺术品）缺乏想象力的；无趣的
critically|adv.批评性地；爱挑剔地；重要地；危急地
lunchroom|n.速简餐厅
shove|v.推挤；撞；乱塞；乱放; n.推；挤
van|n.箱形客货两用车；(铁路的)有盖货车；[军]先锋；先导；翼; v.(用货车)运
caterpillar|n.毛虫; Caterpillar.; n.卡特彼勒(财富500强公司之一；总部所在地美国；主要经营工业农业设备)
inquire|vt.询问；查究; vi.询问；查究
abnormal|adj.反常的；不正常的；变态的; n.不正常的人
destruction|n.破坏；毁灭
workshop|n.工场；车间；研讨会；讲习班
cast|v.掷；抛；投；铸造；指定演员；加起来；投射(目光)；投(票)；预测; n.演员阵容；投掷；[医]固定用敷料
bossy|adj.专横的；爱发号施令的; n.母牛或者小牛
plentiful|adj.丰富的；多的；充裕的
hive|n.蜂房；蜂箱；蜂群；喧闹繁忙的场所; vi.蜂进入蜂箱；聚居；把一部分分离出来; vt.使蜂入箱；储备
pulley|n.滑车；滑轮；皮带轮
stove|n.炉子；窑；【主英】温室
pigeon|n.鸽子
ambassador|n.大使；代表
quiver|v.颤抖；振动; n.颤抖；箭袋；箭袋内的箭
uncles|n.叔伯
wheelbarrow|n.独轮手推车
virtuous|adj.有品德的；有德行的；贞洁的
boredom|n.无聊；厌烦；厌倦；令人厌烦的事物
sack|n.袋子；解雇; vt.解雇；把...装入袋子；劫掠
wicked|adj.坏的；邪恶的；缺德的; adv.极端地；非常地; vt.吸收
python|n.大蟒；巨蟒
seawater|n.海水
halibut|n.大比目鱼
supernatural|adj.超自然的；神奇的
astonish|vt.使惊讶；使吃惊
persistent|adj.坚持的；连续的；固执的
descend|v.下降；降临; v.传下来；遗传; v.突然袭击；突然拜访
caterpillars|毛虫树
detect|v.发觉；察觉；探测
cannon|n.大炮；机关炮; v.开炮；相撞
equestrian|n.骑马者；骑术家; adj.骑马的；骑术的
pedestal|n.基架；底座；受人尊敬的地位; vt.搁在台上；颂扬
allegiance|n.忠诚；效忠
cone|n.圆锥体；锥形物；球果; vt.变成锥形
fort|n.堡垒；要塞
proof|n.证明；证据；校样; adj.防...的；耐...的; vt.检验；给...做防护措施
turnip|n.萝卜；芜菁；大头菜
boldly|adv.大胆地；显眼地
construct|vt.建造；构筑；造(句); n.构想
wearer|n.穿用者
licence|n.执照；许可；特许；自由；放纵; vt.同意；许可
tock|n.托科鸟
trait|n.特征；特点；少许；一笔
engaged|adj.忙碌的；使用中的；订婚了的
sleet|n.雨雪; v.下雨雪；下冰雹
regularly|adv.有规律地；定期地
allergy|n.过敏症；反感；厌恶
flex|v.弯曲；伸缩；屈曲; n.花线；弯曲；弹性
rig|n.装备；帆具；服装；钻井架；钻塔; v.装配；装扮；临时赶造；操纵
myths|神话
cartoon|n.卡通；漫画；草图; vt.为...画漫画
nectar|n.花蜜；甜美的饮料；众神饮用的酒
hurriedly|adv.匆忙地
forlorn|adj.孤独的；凄凉的；渺茫的
considerably|adv.非常地；相当地；颇
helper|n.助手；帮手
nighttime|n.夜间; adj.夜间的
feather|n.羽毛；翎毛；种类; vt.用羽毛装饰; vi.长出羽毛
schoolyard|n.校园；运动场
sprouted|adj.萌芽的；发了芽的
orphan|n.孤儿; adj.孤儿的; vt.成孤儿
ajar|adj.微开的；半开的; adv.微开地；半开地
cruise|n.巡航；漫游；游艇; v.慢速行驶；乘船游览；游弋；巡游
dugout|n.防空洞；独木舟；[棒、足]球员休息处；替补席
sailor|n.海员；水手；扁平的硬边草帽
monsoon|n.季风；雨季
aggressively|adv.侵略地；攻击地；有干劲地
lesion|n.损害；损伤；障碍
whoosh|v.飞快地移动; n.嗖的一声；冲出(表示飞快的移动)
fend|v.照料；挡开；[英口]供养
drilling|n.演练；钻孔
carve|v.雕刻；切割
piracy|n.盗版；剽窃；著作权侵害；海盗行为
bye|int.再见
doorstep|n.门阶
microphone|n.麦克风；扩音器
theater|n.剧场；电影院；戏院; adj.战区的
proved|v.证明(证明是；检验；勘探；证明；试印)
cutter|n.裁剪者；切割器；快艇；小艇；轻便雪橇
bitterly|adv.残酷地；痛苦地
soundly|adv.完全地；健全地；坚牢地；香甜地
criticism|n.批评；评论
angrily|adv.气愤地
nerve|n.神经；勇气；敏感处；叶脉；厚脸皮; v.鼓起勇气; （复）nerves:神经紧张.
precaution|n.预防；预防措施
musk|n.麝香；麝
sprout|v.长芽；萌芽；迅速成长; n.芽；年幼者
slam|v.砰地关上；猛放；猛烈攻击; n.砰然声；猛烈抨击; n.满贯
curtain|n.窗帘；门帘；幕(布); vt.(用帘)装饰；(以帘)遮蔽
vapor|n.蒸汽；水蒸汽; v.蒸发；汽化
padding|n.垫充；垫塞；填料；废话
trophy|n.奖品；战利品; adj.显示身份的；有威望的
pat|n.轻拍；轻打；小块; v.轻拍；抚摸；拍打
shortstop|n.（棒球）游击手；游击手的位置
lantern|n.灯笼；[建]天窗；屋顶气窗
edgy|adj.急躁的；尖利的；刀口锐利的
preserve|v.保护；保存；保持; n.禁猎区；蜜饯
cuckoo|n.杜鹃；杜鹃的叫声; v.像杜鹃一样咕咕叫; adj.愚蠢的；疯狂的
nicely|adv.精确地；漂亮地；恰好地
hummingbird|n.蜂鸟
clatter|n.咔嗒声；哗啦声；嘈杂的谈笑声; v.发出哗啦声；咔嗒咔嗒响；喧闹地谈笑；使发出咔嗒声
yen|n.日元; n.上瘾; vi.对...上瘾
pirate|n.海盗；盗版者; v.盗版；抢劫；剽窃
inclined|adj.倾向于...的
chimpanzee|n.黑猩猩
keepsake|n.纪念品
temple|n.神殿；寺院；庙宇; n.太阳穴，鬓角
speck|n.斑点；灰尘；污点；少量; v.用斑点标记
headmaster|n.(中小学的)校长
karate|n.空手道(日本的一种徒手武术)
anxiously|adv.焦急地；忧虑地；担心地
dismay|n.沮丧；绝望; vt.使...沮丧；使...惊愕
drill|n.钻孔机；钻子；反复操练；播种机; v.练习；钻孔；(军事)训练
carton|n.纸板箱；硬纸盒; vt.把...装入纸板箱; vi.制作纸盒
