goody|n.想要的东西；甜食；伪善者；身份低微之老妇; int.这实在太好了
offense|n.过错；冒犯；触怒；犯规；犯罪；进攻
kingdoms|王朝
mantle|n.斗篷；覆盖物；墙的外皮；（汽灯的）纱罩；[地]地幔; v.覆盖；笼罩；脸红
alley|n.胡同；巷；跑道；球道
stretched|拉伸的
mare|n.母马；母驴；(月球等)表面阴暗处
core|n.核心；果心；要点; vt.挖去果核
lowland|n.低地; adj.低地的; Lowland.; n.苏格兰低地
porch|n.门廊
cycling|n.骑自行车
competitor|n.竞争者；对手
honesty|n.诚实；正直
drill|n.钻孔机；钻子；反复操练；播种机; v.练习；钻孔；(军事)训练
pickup|n.拾起；（开车)去接；搭便车者；获得；加速；拾音器；小型卡车；实况转播；（生意）好转；逮捕；发现，截获；固定器；随便买的东西; adj.临时的；凑合的
lightweight|adj.轻量级的；无足轻重的；比较轻的; n.轻量级拳击运动员；无足轻重的人或物；轻便
loot|n.掠夺品；赃物；钱; v.掠夺；洗劫
crack|v.破裂；砸开；发出爆裂声；撞击；破解；变嘶哑；崩溃；制裁；开玩笑; n.裂缝；裂痕；爆裂声；猛击；尝试；俏皮话; adj.训练有素的
mitzvah|n.（犹太教）戒律；德行
zipper|n.拉链; v.拉上拉链
imagination|n.想象；想象力；空想；幻想
sacks|n.(纸；麻；帆布质的)大袋子；一袋的分量; 宽松的短上衣; 睡袋；吊床; (棒球)垒；(橄榄球)成功擒抱四分卫; 解雇; vt.把...装进袋子；解雇；(橄榄球)擒抱四分卫
superior|n.上级；高手；上标; adj.高傲的；上层的；上好的；出众的
ballet|n.芭蕾舞
specialty|n.专业；专长；特别；特产；特性
ditch|n.沟渠；壕沟; vt.丢弃；坠入沟中；飞机（在海上）迫降; vi.挖渠；飞机紧急降落
peacefully|adv.平静地；和平地
necklace|n.项链
fuse|n.保险丝；导火线；引线; vt.熔化；融合；装导线；装引信于; vi.熔化；融合
disagreement|n.不合；争论；不一致
bookstore|n.书店; =bookshop.
relaxation|n.消遣；松弛；放松
librarian|n.图书管理员；图书馆学专家；图书馆馆长
theater|n.剧场；电影院；戏院; adj.战区的
lever|n.杠杆；控制杆；手段; v.撬开；使用杠杆
jug|n.水壶；罐；监牢; vt.罐焖；把……关进监狱
highlight|vt.强调；照亮；加亮；使...显得重要；使突出; n.加亮区；精彩部分；最重要的细节或事件；闪光点; [计算机]醒目
twinkle|vi.闪耀；闪烁；眨眼；轻快移动; vt.使闪耀; n.闪烁；闪耀；眨眼；瞬息
owners|业主
movements|n.动作
snail|n.蜗牛
truthful|adj.诚实的；真实的
trustworthy|adj.可信赖的
skilled|adj.有技能的；熟练的
credits|演职员名单
excitedly|adv.激动地；兴奋地
cockroach|n.蟑螂
dancer|n.跳舞者；舞蹈演员
wedge|n.楔子；楔形物; vt.楔住；嵌；挤进
quote|v.引述；报价；举证; n.引用
canary|n.金丝雀；加那利舞；加那利白葡萄酒；告密者
socialist|adj.社会主义的; n.社会主义者
wedding|n.婚礼；结合
pa|n.爸爸
recreate|v.再创造；使得到休养；得到消遣；休息娱乐
tales|n.[律]候补陪审员召集令
lightly|adv.轻轻地；轻快地；轻蔑地；轻率地；轻微地
topical|adj.谈论的；时事问题的；局部的
separately|adv.分别地；个别地；独立地；分开地
eel|n.鳗鱼；鳝鱼
goddess|n.女神；受崇拜的女性
ornament|n.装饰；装饰物; vt.装饰
nervousness|n.神经紧张；情绪不安
pony|n.小马；小型的东西; v.付清
pee|n.小便; vi.小便
wilderness|n.荒野；荒地
pat|n.轻拍；轻打；小块; v.轻拍；抚摸；拍打
digest|n.摘要; vt.消化；理解; vi.消化
needle|n.针; vt.用针缝；激怒；嘲弄; vi.缝纫
construct|vt.建造；构筑；造(句); n.构想
fictional|adj.虚构的；小说的
seaside|n.海边; adj.海边(的)；海滨(的)
sled|n.雪撬
raft|n.筏；木排；救生艇; n.大量; v.乘筏；制成筏
mailman|n.邮差；邮递员; =postman（英）.
dome|n.圆屋顶；苍穹；脑袋；圆形的火山口; vt.加圆屋顶于...上；使成圆屋顶; vi.成圆顶状
instantly|adv.立即地；即刻地
compound|n.化合物；复合词；复合物; n.院子(用围墙圈起来的场地）; adj.化合的；【语】（词语等）复合的；【植】复合的；【动】群体的; vt.混合；调合；使严重；私了；【经】以复利计算; vi.妥协
shred|v.撕成碎片; n.碎布条；细片；少许
powerfully|adv.非常地；强有力地
snowman|n.雪人
counter|n.柜台；筹码；计数器；反驳; adj.相反的; adv.与…相反地; v.反对；反击
infer|vt.推断；猜测；暗示; vi.作出推论
wax|n.蜡；蜂蜡; vt.(用蜡)涂; vi.变圆
sly|adj.狡猾的；会心的；淘气的；诡异的
cutter|n.裁剪者；切割器；快艇；小艇；轻便雪橇
airlines|n.航空公司
silently|adv.沉默地；寂静地
mummy|n.木乃伊; n.妈妈（=mommy）
drown|vi.淹死; vt.淹死；淹没
frown|n.皱眉；不悦; v.不同意；皱眉头
itch|n.痒；渴望；疥癣; v.（使）痒；渴望
magistrate|n.地方法官；行政官
mighty|adj.强大的；巨大的; adv.很；极其
rip|v.撕裂；扯开; n.裂口；裂缝；撕裂
armor|n.盔甲；装甲
thickly|adv.厚厚地；浓密地；声音沙哑地
mill|n.磨坊；工厂；磨粉机; v.碾碎；磨；（使）乱转
lifeguard|n.救生员
confusion|n.惶惑；混淆；混乱；不确定状态
