uncertain|adj.不确定的；不稳定的；易变的
walrus|n.海象
pterodactyl|n.翼手龙
chirp|v.吱喳而鸣；轻松愉快地说; n.喳喳声；唧唧声
daylight|n.日光；白昼；黎明
chestnut|n.栗子；栗树；栗色；栗色马；陈词滥调；七叶树；马的胼胝; adj.栗色的
cheek|n.面颊；脸蛋
wicket|n.[板球]三柱门；两座三柱门之间的场地；一局；小门
venom|n.毒液；恶意
rooster|n.公鸡；雄禽；狂妄自负的人
thunder|n.雷；雷声; v.打雷；轰隆地响；大声喊出
infield|n.农宅周围的田园；耕地；内野
parade|n.游行；检阅；游行地; vi.参加游行；阅兵；散步；炫耀; vt.夸耀；使参加游行；检阅；绕行
unmarried|adj.未婚的；独身的; n.未婚者
phonograph|n.留声机；电唱机
twig|n.小枝；嫩枝; v.理解；领悟
jolt|n.震摇；摇动；震惊；少量; vt.颠簸；敲击；动摇；震动; vi.颠簸而行
tribe|n.部落；族；一伙人
segregationist|n.隔离主义者
cardboard|n.厚纸板; adj.厚纸板的；不真实的；无实质的
alligator|n.短吻鳄; adj.鳄鱼皮的
icy|adj.冰的；冷淡的
ballpark|n.棒球场；变动范围
crush|v.压碎；击败；使...失望；折皱；压榨; n.压碎；压榨；极度拥挤；迷恋
powder|n.粉末；粉；火药；细雪; vt.洒粉于；使变成粉；重击; vi.变成粉；涂粉
telegraph|n.电报；电报机; vt.打电报；显示
feeder|n.饲养者；进食者；供给者；输电线；分支；支流；支线驳船
ace|n.幺点；好手；高手；发球得分; adj.一流的；卓越的; vt.发球得分；考试中取得好成绩
ma|n.妈
tin|n.锡；罐头；听头; adj.锡制的; vt.镀锡于
kit|n.成套工具；工具箱；装备; vt.装备
hike|n.徒步旅行；远足；涨价; vi.远足；提高
creamy|adj.含乳脂的；乳脂状的；奶油色的
fain|adv.乐意地；欣然地; adj.愿意的；乐意的；勉强的
recovery|n.恢复；痊愈；复原；重获
greatness|n.伟大；崇高；巨大
worker|n.工人；工作者
cleat|n.楔子(栓、系缆墩)；防滑条; v.加拴或楔子；加防滑条
ice-skating|n.溜冰
twenty-nine|num.二十九
bowler|n.玩滚球的人；投球手；圆礼帽
pasta|n.意大利面
fielder|n.守场员
explorer|n.探测者；探险者
cob|n.玉米棒子；雄天鹅；短腿马；圆锥；柴泥灰墁
crack|v.破裂；砸开；发出爆裂声；撞击；破解；变嘶哑；崩溃；制裁；开玩笑; n.裂缝；裂痕；爆裂声；猛击；尝试；俏皮话; adj.训练有素的
index|n.指数；索引；(刻度盘上的)指针; v.指出；编索引
shin|n.胫骨; v.攀爬；快步走；踢或打在...的胫骨上
bulky|adj.庞大的；笨重的；肥大的
clown|n.小丑；粗鲁愚蠢的人; v.扮小丑；胡闹
mi|n.大音阶的第三音
archive|n.档案；档案馆; vt.存档
oak|n.橡树；橡木
lightweight|adj.轻量级的；无足轻重的；比较轻的; n.轻量级拳击运动员；无足轻重的人或物；轻便
gauge|n.测量仪器；测量标准；（铁道的）轨距；（钢丝等的）直径；（枪管的）口径; v.估计；判断；测量
bully|n.欺凌弱小者；开球; vt.恐吓；威胁；欺负
rah|n.好哇的欢呼声；激动
darcy|n.达西(多孔介质渗透力单位)
traditions|传统
solver|n.解算机；求解程序；解决者
grip|n.紧握；手提包；了解；手柄; vt.吸引；紧抓
currency|n.货币；流通
viewer|n.观看者；电视观众；观察器
pinata|皮纳塔；n.彩罐
beam|vi.微笑；发光; vt.播送；发射；用梁支撑; n.桁条；光线；(光线的)束；(横)梁
bending|n.弯曲度(偏移；透镜的配曲调整); v.弯曲
yam|n.山药；番薯
seventh|num.第七；七分之一
enzymes|n.酶；酵素
strip|v.剥去；剥夺；脱衣；除去; n.脱衣舞；长条；条状
sow|v.播种；散布; n.母猪
grownup|n.成人
tummy|n.肚子；胃
bouncy|adj.快活的；精神饱满的；有弹性的
burp|n.饱嗝儿; v.打嗝
howl|n.长嚎；高声叫喊；啸鸣; v.嚎叫；大声哭；吼叫着说出
ice-skate|v.溜冰；滑冰
sender|n.寄件人；发报机；送话器
sip|n.啜饮; v.啜饮；啜
wail|v.痛哭；发出似哭的尖声；悲叹; n.痛哭；尖叫声
emergency|n.突发事件；紧急状态; adj.应急的；紧急的；备用的
hampshire|n.汉普夏羊；汉普夏猪；汉普郡（英国英格兰南部沿海的郡）
yawn|v.打呵欠；张开; n.呵欠；乏味的人（事）
underwood|n.树林下的草丛；丛林
restless|adj.不安宁的；焦虑的；得不到休息的
stretched|拉伸的
chilly|adj.寒冷的；冷淡的; n.干辣椒
wowser|n.虔诚之清教徒；老古板
undid|v.解开；复原
cheers|int.干杯；再见；谢谢
ope|v.开放；自由进出（动词open的古体）; =open.
bedding|n.寝具（人或动物）
bandage|n.绷带; vt.用绷带包扎
desserts|甜品
patera|n.插座(接线盒)
mud|n.泥；泥浆；诽谤; vt.弄脏；抹泥
informer|n.告发者；告密者
bail|n.保释；杓；把手；保证金；担保人; vt.保释；往外舀水；使摆脱困境; vi.舀空
unhappily|adv.不快乐地；不幸地
usu|adj.通常的；普通的；常见的；惯例的；正规的; adv.通常；平常；一般
tanker|n.油轮；加油飞机；罐车
birdseed|n.鸟饵
straw|n.稻草；吸管；麦杆；不值钱的东西; adj.用稻草做的；麦杆色的；无价值的；像稻草人的；非正式民意测验所发现的
twinkle|vi.闪耀；闪烁；眨眼；轻快移动; vt.使闪耀; n.闪烁；闪耀；眨眼；瞬息
calmly|adv.平静地；安静地；冷静地
sounded|vbl.听起来
stew|n.炖汤；焖；烦恼; v.炖汤；焖；忧虑
ibex|n.北山羊；巨角塔尔羊
wicketkeeper|n.(板球)三柱门的防守员；捕手
uninterested|adj.不感兴趣的
gods|n.最高层楼座
dam|n.水坝；堤；障碍物; v.筑坝；抑制(情感等）
cart|n.【C】(二轮或四轮)运货马车；手推车; vt.(用手推车)运送；(用力；粗鲁地)拖
kitten|n.小猫; vi.生育小猫
forty-three|num.四十三
closely|adv.紧密地；接近地；严密地；亲近地
filament|n.细丝；细线；灯丝；[植]花丝
correlation|n.相互关系；相关；关联
civ|(=chiloirridescentvirus)奇洛彩虹色病毒,(=commoniliacvein)髂总静脉
tangy|adj.强烈的；扑鼻的；有刺激性的
tetra|n.脂鲤（南美产的热带鱼）; pref.四；四原；四基
scrunch|v.碾；压；蜷缩；揉皱；嘎吱嘎吱地作响; n.嘎吱嘎吱的响声
curly|adj.卷曲的
rainforest|n.雨林
chow|n.食物；中国黑鼻狗; v.吃
device|n.装置；设备；策略；设计
thereafter|adv.其后；从那时以后
keyboard|n.键盘; v.用键盘输入
universal|adj.普遍的；全世界的；宇宙的；全体的；通用的; n.通用原理，普遍原则
homo|n.人；同性恋者; pref.表示“相同”、“相等”、“类似”
monsters|怪物
bump|v.碰撞；颠簸而行；提高; n.肿块；撞击；表面隆起; adv.突然的；猛烈的
bluebird|n.蓝知更鸟
paint|v.油漆；绘画; n.油漆；颜料；绘画作品
peek|v.偷看；窥视; n.偷看；窥见
groan|v.呻吟；抱怨；发嘎吱声；受重压; n.呻吟；呻吟声
masses|n.平民；群众
en|n.半方；N字; prep.作为；一起；在...中
gaze|vi.凝视; n.凝视
silkies|丝羽乌骨鸡
offensive|adj.令人不快的；冒犯的；侮辱的；与进攻有关的; n.攻势；攻击
enclosed|adj.被附上的; v.附上; vbl.附上
pillar|n.柱子；支柱；核心(人物); vt.用柱支持
scare|v.受惊吓；恐吓；吓走; n.惊吓；惊恐
fireworks|n.烟火
unclear|adj.不清楚的；含混的
