jab|v.刺；戳；猛击; n.戳；刺；猛击; 注射
scoreboard|n.记分板
criminals|罪犯
heal|vt.治愈；使恢复健康；使和解; vi.痊愈
stingy|adj.吝啬的；小气的
donkey|n.驴；愚蠢的人
crimes|犯罪
sheriff|n.郡治安官；郡长
unfold|v.展开；开放；显露
luckily|adv.幸运地；幸亏地
spoiling|n.钢的碳化物分解变坏
rotten|adj.腐烂的；腐朽的；极坏的；讨厌的; adv.非常
sheet|n.被单；纸；(薄)片；一片; n.[船]帆脚索; v.铺盖；使成片; adj.片状的
lowly|adj.地位低的；卑下的；谦卑的; adv.位置低下地；低声地；谦逊地
declaration|n.宣言；宣布；申报
historical|adj.与历史有关的
grin|v.露齿而笑；(以咧嘴笑来)表示; n.露齿笑；咧嘴笑
librarians|图书馆员
halfway|adj.中途的；不彻底的; adv.半路地；在…中间；折中地
shining|adj.光亮的；华丽的
graveyard|n.墓地；废弃场地
rubber|n.橡胶；橡皮；橡胶制品; adj.橡胶的
redouble|v.加倍；再折叠；重复
correlation|n.相互关系；相关；关联
similarity|n.相似；类似
romp|v.嬉闹玩笑；欢快地迅速奔跑；轻易地取得胜利; n.好玩的游戏；欢闹；顽皮嬉闹的人；轻易取得的胜利
gunman|n.持枪者；枪手；持枪歹徒；职业杀手
rightfully|adv.正直地；正当地
mischief|n.淘气；恶作剧；捣蛋鬼；损害；伤害
secretly|adv.秘密地；背地里
dire|adj.可怕的；悲惨的；极其的
parallel|adj.平行的；相同的；类似的；并联的; n.对比；平行线(面)；双杠；相似物; vt.相比；相应；与...平行
clicking|n.微小静电干扰声
thaw|n.融雪; v.使融解；暖和
realm|n.领域；王国
sturdy|adj.强健的；坚固的；坚决的
rejoice|v.（使）高兴；（使）欢喜
slime|n.烂泥；黏液; v.涂上黏泥
swell|v.（使）膨胀；（使）鼓起；（使）增长; n.增大；膨胀；肿胀；汹涌; adj.很棒的；时髦的；一流的
closet|n.壁橱；衣帽间；密室；厕所; adj.隐藏的；不公开的；空谈的; vt.把...关在房间里
ivory|n.象牙；乳白色
harmony|n.和谐；协调；调和；和声
slumber|n.睡眠；微睡；休止状态; v.睡觉；打盹；静止；休眠
scattered|adj.分散的；稀疏的
beer|n.啤酒
eve|n.（重大节日的）前夜；前夕; Eve.; n.夏娃（圣经中的第一个女人）
squire|n.护卫；侍从；乡绅；大地主; v.侍从；护卫
hitch|n.猛拉；急促猛推；跛行；妨碍；免费搭车; vt.拴住；连住；急拉；拉紧；免费搭车; vi.蹒跚；被缠结；免费乘车
goalie|n.(足球等运动的)守门员; =goalkeeper
merry|adj.愉快的；欢乐的；微醉的
savory|adj.美味可口的；香辣的；令人愉快的；体面的; n.香薄荷; =savoury(英).
gross|adj.总的；粗鲁的；公然的；荒唐的；令人讨厌的; n.总量；总额; vt.总共赚得; adv.总共地
homemade|adj.自制的；国产的
roars|n.怒吼
ripples|皱纹,纹波,涟漪
scoot|v.急走; n.急走；迅速跑开
revolve|v.旋转；考虑；围绕
suck|vt.啜；吸入；吸收; vi.吸；吸收；奉承；烂; n.吸吮；吸力
stumble|v.绊倒；蹒跚；犯错误；无意中发现; n.绊倒；错误
remedy|n.治疗法；药物；补救; vt.治疗；补救；矫正
goatskin|n.山羊皮
ref|n.裁判员
salsa|n.沙司(墨西哥食物中辣调味汁); n.萨尔萨舞曲
fiercely|adv.猛烈地；厉害地
accurately|adv.准确地；精确地
gut|n.内脏；肠子；羊肠线；胆量；勇气; vt.取出内脏；摧毁（内部）; adj.本能的；（问题等）根本的
flexible|adj.柔韧的；灵活的；易弯曲的；可变通的
sickness|n.疾病；呕吐
regroup|v.重新组合；重新编制；重新部署
auto|n.汽车; pref.自动的; v.乘汽车
anytime|adv.任何时候；总是，无例外地
recall|n.回忆；取消；召回; vt.召回；恢复；回想起；唤起；与...相似
grab|v.抓住；攫取; n.抓取物；抓
sandal|n.凉鞋; n.檀香木
faithful|adj.忠诚的；忠实的；忠贞的
scurry|v.小步疾走；急赶; n.快跑声；疾走
courageous|adj.勇敢的；有勇气的，有胆量的
tails|n.(硬币的)反面
sword|n.剑；刀
curl|n.卷曲；卷发；年轮；漩涡；[足]曲线球; vt.弄卷；使弯曲; vi.变卷；弯曲
galaxy|n.银河；星系；一群杰出的人
gymnastics|n.体操
scoop|n.铲子；勺；舀取；穴；独家新闻; vt.挖空；舀取；抢先报道（获得）
rightly|adv.正当地；公义地；正确地
rusty|adj.生锈的；荒废的；锈色的
reminder|n.提醒物；提示；催单
knuckle|n.指关节；膝关节；肘形接头；铰链连接; v.以指节压；屈从；开始努力工作
gruesome|adj.可怕的；令人毛骨悚然的；阴森的
stroke|n.中风；击打；一笔（画）；意外的运气; v.击打; v.轻抚；奉承
gravel|n.碎石; v.铺碎石；使困惑
scrawny|adj.瘦的；骨瘦如柴的
retired|adj.退休的；退役的
lavender|n.熏衣草；淡紫色; vt.用薰衣草薰香
tide|n.趋势；潮流；潮汐；潮水; v.渡过；（使）随潮漂流
relative|adj.相对的；比较的；相关的; n.亲戚；[语]关系词
bunny|n.小兔子
maniac|n.疯子；热衷者；躁狂者
swamp|n.沼泽；湿地；困境; v.淹没；使陷于困境；使忙于应付
troop|n.群；组；军队；大量; vi.群集；结队；成群前行
romantic|adj.浪漫的；不切实际的; n.浪漫的人
