morality|n.道德；美德；品行；道德观
wavelengths|波长
starve|vi.挨饿；受饿；极度匮乏; vt.使挨饿；使饿死
calculate|v.计算；估计；考虑；推测；计划；指望
summit|n.顶点；最高阶层
backward|adj.向后的；落后的; adv.向后
cellular|adj.细胞的；多孔的；蜂窝式的; n.手机
digital|adj.数字的；数码的；手指的；计数的
simulator|n.模拟器
arctic|adj.北极的；极寒的; n.北极圈；北极
barely|adv.几乎不；刚刚；勉强；少量地
antenna|n.触角；天线
convinced|adj.信服的；确信的
passion|n.激情；热情；酷爱；盛怒
somerset|n.翻筋斗; vi.翻筋斗; =somersault.
antennas|天线
download|v.下载; n.下载
loon|n.疯子(=loony)；潜鸟
inventor|n.发明家；创造者
grizzly|adj.灰(白)色的；灰白的; n.灰熊；格筛
atop|adv.在顶上; prep.在...的顶上
firefighter|n.消防队员
starvation|n.饿死；饥饿
mathematician|n.数学家
impact|n.影响；冲击力；撞击; vt.挤入；压紧；撞击；对...发生影响; vi.冲击；撞击；产生影响
facebook|n.肖像影集；脸谱网或脸书网（知名社交网站）; v.在脸书网页上寻找
strait|n.海峡；困境; adj.困难的；窘迫的；狭窄的；严格的
patchy|adj.斑驳的；质量不一致的；不完整的；拼凑的
beetle|n.甲虫；木槌；[纺]捶布机; v.快速移动；用木槌捶；突出; adj.突出的；显著的
puerto|普埃尔托
hertz|n.赫兹(电学频率单位)；【大写】赫兹(德国物理学家)
skinny|adj.皮的；皮包骨头的；很瘦的; n.内部消息
faster|adj.更快的; adv.更快地
carbon|n.碳；复写纸；复本；碳精棒
tallest|adj.最高的
dioxide|n.二氧化物
designer|n.设计者; adj.由专门设计师设计的
myron|树汁
drier|n.吹风机；干燥机；干燥工；干燥剂; =dryer.
savings|n.储蓄
pole|n.杆；柱；极点; v.(用杆)支撑; Pole.; n.波兰人
nonprofit|adj.非赢利的; n.非赢利组织
archipelago|n.群岛；多岛海
penguin|n.企鹅
signal|n.信号；标志; v.(发信号)通知、表示; adj.显著的
emails|邮件
residential|adj.住宅的；居住的
gigahertz|n.[电]十亿赫兹；千兆赫
wildfire|n.野火；散布极快的事物；磷火；燃烧剂
builders|n.洗选强化剂
allows|允许
increasing|adj.增长的；增加的
membership|n.成员资格；会员全体；从属关系
complex|adj.复杂的；合成的；复合的; n.综合体；复合体；[医]综合症状；[心]情结
players|运动员
sunlight|n.日光；阳光
procedure|n.程序；手续；步骤
title|n.标题；称号；头衔；权利; v.加标题于；授予…称号
remaining|adj.剩余的
graphic|adj.生动的；图表的; n.图表
meteorite|n.陨石；流星
housing|n.房屋；外壳；外套；外罩；住宅；卡箍；遮盖物；(芯片的)封装
county|n.郡；县; adj.有郡中豪绅习气的
sol|n.C大调音阶中的第五音；索尔（秘鲁的货币)；溶胶
unemployment|n.失业；失业人数
contact|n.接触；联系；熟人; v.(与)联系；(与)接触; adj.接触的
married|adj.已婚的；婚姻的；密切结合的; n.已婚者
launch|v.发起；推出（新产品）；发射；使(船)下水; n.发射；产品推介
policy|n.政策；方针; n.保险单
silence|n.沉默；寂静; vt.使安静；使沉默
upper|adj.较高的；上面的；上部的; n.鞋帮；上铺; n.兴奋剂；令人兴奋的经历
equally|adv.相等地；同样地；平等地
a|art.一(个)；每一(个)；任一(个); n.英语字母表的第一个字母；学业成绩得优者；表示“最好”的符号
royal|adj.盛大的；皇家的；高贵的；第一流的；堂皇的; n.顶桅帆；王室成员，贵族；纸张规格（书写纸19×24寸/印刷纸20×25寸）
effective|adj.有效的；生效的；实际的
security|n.安全；保证；证券；债券；抵押；防护措施
existence|n.存在；生存
recharge|v.再充电；（给枪）再装弹药；再进攻；恢复精力
explained|v.解释；说明; vbl.解释；说明
cyclists|运动员
driver|n.驾驶员；司机；驱动器
dynamics|n.力学；动力学；动态；[音]力度
necessarily|adv.必然地；必定地；必需地
spending|n.经费(开销)
risky|adj.危险的；冒险的；大胆的
slavery|n.奴役；奴隶制；奴隶身份
dense|adj.密集的；稠密的；浓密的
debate|n.辩论；讨论; vt.争论；思考; vi.辩论
flatter|v.奉承；恭维；取悦；显得好看
previously|adv.先前；在此之前
conflict|n.冲突；战斗；矛盾；斗争; vi.冲突；抵触；争执
rim|n.边；框; vt.镶边; vi.形成边缘
rising|n.上升；造反或叛乱; adj.上升的；高涨的
issue|n.议题；问题；期刊号；一次发行额；发行；子女; v.发表；公布；正式发给；发行；流出
initial|n.(词)首字母; adj.开始的；最初的；字首的; vt.签姓名的首字母于
critical|adj.批评的；挑剔的；决定性的；危险的; adj.临界的
perseverance|n.不屈不挠；毅力；坚韧不拔
recently|adv.最近
employment|n.职业；雇用；使用
claim|n.要求；要求权；主张；断言；声称；要求物; vt.要求；请求；主张；声称；断言
