lick|v.舔；轻拍；击败；掠过; n.舔；少许；打；速度
peek|v.偷看；窥视; n.偷看；窥见
viewer|n.观看者；电视观众；观察器
gods|n.最高层楼座
crush|v.压碎；击败；使...失望；折皱；压榨; n.压碎；压榨；极度拥挤；迷恋
knight|n.骑士；爵士；武士; vt.授以爵位
sadness|n.悲哀
bat|n.球棒；球拍; n.蝙蝠; v.用棒击打；拍打; v.眨眼睛
restless|adj.不安宁的；焦虑的；得不到休息的
bony|adj.如骨的；多骨的；瘦骨嶙峋的
professionals|adj.职业的;专业的; n.专家;内行
bedding|n.寝具（人或动物）
clown|n.小丑；粗鲁愚蠢的人; v.扮小丑；胡闹
bowling|n.保龄球
twirl|v.快速转动；扭转; n.扭转；旋转的东西
boxed|vbl.装箱
chilly|adj.寒冷的；冷淡的; n.干辣椒
underwood|n.树林下的草丛；丛林
traditions|传统
rooster|n.公鸡；雄禽；狂妄自负的人
lettuce|n.莴苣；生菜；纸币
internment|n.拘禁
grind|v.磨；压迫；碾碎；磨得吱吱响；逐渐停顿; n.苦事；磨；碾
vision|n.视力；视觉；幻觉；眼光；洞察力；想象力; v.幻想；设想
calmly|adv.平静地；安静地；冷静地
amazon|n.亚马逊河; n.高大强壮的女人
papa|n.爸爸
vaccine|n.疫苗
solver|n.解算机；求解程序；解决者
vault|n.窖；穹；地下室；撑竿跳; vt.做成圆拱形；撑竿跳跃; vi.跳跃
tangy|adj.强烈的；扑鼻的；有刺激性的
stunt|n.特技；阻碍成长; vt.阻碍成长；表演特技
shady|adj.荫凉的；可疑的
filament|n.细丝；细线；灯丝；[植]花丝
co-exist|vi.并存
sip|n.啜饮; v.啜饮；啜
tons|ad.[口]极其；非常
uncertain|adj.不确定的；不稳定的；易变的
haven|n.港口；避难所; v.安置...于港中；庇护
organ|n.器官；风琴；机构；喉舌；报刊
paw|n.脚爪；爪子；手; v.以蹄扒；抓；粗鲁地摸；翻找
bearded|adj.有胡须的
iconic|adj.图像的；肖像的；图标的
currency|n.货币；流通
pumpkin|n.南瓜
consume|v.消耗；吃喝；毁灭
bandage|n.绷带; vt.用绷带包扎
hand-|表示"手的","有手的","用手的","手工的"
brightly|adv.生辉地；明亮地；鲜明地
coven|n.(尤指十三个)女巫的集会；大聚会
shin|n.胫骨; v.攀爬；快步走；踢或打在...的胫骨上
birdseed|n.鸟饵
airports|机场
yawn|v.打呵欠；张开; n.呵欠；乏味的人（事）
stew|n.炖汤；焖；烦恼; v.炖汤；焖；忧虑
unhappily|adv.不快乐地；不幸地
bending|n.弯曲度(偏移；透镜的配曲调整); v.弯曲
twig|n.小枝；嫩枝; v.理解；领悟
dam|n.水坝；堤；障碍物; v.筑坝；抑制(情感等）
poop|n.舵楼；船尾；粪便；内幕; vt.使疲倦；船尾受击; vi.排便
altar|n.(教堂内的)圣坛；祭坛
rib|n.肋骨；肋状物; vt.装肋于；用肋状物支撑
greatness|n.伟大；崇高；巨大
worm|n.虫；蠕虫; v.蠕动；驱虫；慢慢获取
seventh|num.第七；七分之一
bluebird|n.蓝知更鸟
portrait|n.肖像；画像；描写
ballpark|n.棒球场；变动范围
soda|n.汽水；苏打
pit|n.坑；矿井；陷阱；凹痕；(剧院的)正厅后排；（枣）核; vt.使凹陷；使竞争; vi.凹陷
soy|n.大豆；酱油
paint|v.油漆；绘画; n.油漆；颜料；绘画作品
gel|n.凝胶；发胶；彩色透明滤光板; vi.团结一体；变得清晰；变得浓稠; vt.上发胶
enclosed|adj.被附上的; v.附上; vbl.附上
bucket|n.【C】水桶；（机器上的）桶装物；大量; vi.颠簸行进；下倾盆大雨; vt.装在桶里
juicy|adj.多汁的；利润丰厚的；有趣的
blend|v.混合; n.混合物
piggy|n.小猪; adj.贪心的
drive-by|adj.飞车而过的; n.从行驶的汽车上的射击
cane|n.手杖；细长的茎；藤条; vt.以杖击；以藤编制的
coop|n.笼子; v.把…关起来
gauge|n.测量仪器；测量标准；（铁道的）轨距；（钢丝等的）直径；（枪管的）口径; v.估计；判断；测量
venom|n.毒液；恶意
tummy|n.肚子；胃
rah|n.好哇的欢呼声；激动
oak|n.橡树；橡木
burg|n.镇；城；城堡
blink|v.眨眼；闪烁；拒绝承认或面对；用闪光灯传送信号; n.眨眼；闪光；一瞬间
yearbook|n.年鉴
coyote|n.小狼；丛林狼
jackrabbit|n.长耳大野兔
frogs|辙叉
pasta|n.意大利面
scribble|v.潦草地书写；乱写; n.潦草的写法
barbershop|n.理发店; adj.四重唱的；无伴奏重唱的
visible|adj.看得见的；可见的；显而易见的
reds|n.[俚]红胶丸(安眠药的俚称)
cart|n.【C】(二轮或四轮)运货马车；手推车; vt.(用手推车)运送；(用力；粗鲁地)拖
scissors|n.剪刀
selecting|选择
protective|adj.保护的；防卫的
firefighting|n.消防
tank|n.箱；罐；槽；贮水池；坦克; vt.把...储于槽中
sounded|vbl.听起来
gaze|vi.凝视; n.凝视
pterodactyl|n.翼手龙
drive-in|adj.免下车的; n.顾客无需下车即可得到服务的餐馆
kit|n.成套工具；工具箱；装备; vt.装备
