turnout|n.到场人数；产出；衣着；投票人数；出动；扫除
clan|n.氏族；宗族；党派
reminder|n.提醒物；提示；催单
gunman|n.持枪者；枪手；持枪歹徒；职业杀手
aw|int.表示抗议、怀疑、厌恶等的感叹语
clockwise|adj.顺时针方向的; adv.顺时针方向地
fragment|n.碎片；片段; v.使破碎；分裂
chill|v.(使)变冷；(使)扫兴；[冶]冷淬; n.寒冷；扫兴；寒心；着凉; adj.冷淡的；寒冷的
circus|n.马戏团；马戏表演；竞技场；广场
regroup|v.重新组合；重新编制；重新部署
trauma|n.创伤；外伤
developing|adj.发展中的
aviator|n.飞行员
mishap|n.不幸之事；灾祸；恶运
ref|n.裁判员
deli|n.(=delicatessen)熟食店
tribal|adj.部落的
mansion|n.大厦；宅邸；公寓
moonlight|n.月光; v.兼职; adj.夜间的
surgery|n.外科手术；外科；诊所；手术室
tremendous|adj.巨大的；惊人的
composed|adj.镇静的；沉着的；由…组成的
supervisor|n.监督人；主管人；管理人；督学；检查员；导师
recall|n.回忆；取消；召回; vt.召回；恢复；回想起；唤起；与...相似
outfit|n.配备；用具；机构; vt.配备；供应; vi.得到装备
upraised|adj.举起的
spiro|n.螺
lees|n.沉淀物；渣滓
cautiously|adv.慎重地；谨慎的
rage|n.狂怒；大怒；狂暴；肆虐；风行; v.大怒；怒斥；激烈进行；肆虐
spectator|n.观众；旁观者
cellar|n.地窖；地下室; vt.把...藏入地窑
lifeboat|n.救生船
participants|adj.有份的；n
sneak|vt.偷偷摸摸做; vi.偷偷地走；偷偷地做; n.鬼鬼祟祟的人；潜行；溜; adj.出其不意的；暗中进行的
drift|vi.漂流；漂移；吹积；漂泊；偏离; vt.使漂流；使堆积; n.漂流；趋势；漂泊
overlord|n.霸王；大君主；最高君主
brigade|n.旅；队；组; vt.组队；编组
efficiency|n.效率；功率
truly|adv.真实地；真诚地；正确地
sometime|adj.以前的; adv.改天；来日；某时
cha|n.茶
newsroom|n.编辑部；报章杂志阅览室；报纸贩卖部
mutter|v.咕哝；抱怨；低语; n.嘟哝；抱怨；低语
ire|n.愤怒
weaken|v.使...弱，削弱；变弱；弄淡
muddy|adj.泥泞的；浑浊的；糊涂的; v.使沾上烂泥；使...混浊；使迷惑
dedication|n.奉献；献词；献堂礼
cocoon|n.茧；茧状物; v.包围；包裹
liberate|v.解放；使获得自由；释出；放出
administrator|n.管理人；行政官
shore|n.岸；滨
splashdown|n.在海中降落
textbooks|教材
jerk|v.急动；猛拉; n.猛拉；急动；笨蛋；蠢人; adj.颠簸不稳的
await|v.等候；期待；将降临于
rally|n.集会；（价值等）回升；回合; vi.重整旗鼓；恢复精神；(人)集合起来; vt.嘲弄；重新召集；激励
unrelated|adj.不相关的；无亲属关系的
compliant|adj.适用的；顺从的
charitable|adj.仁慈的；(为)慈善事业的；宽恕的
