|【20210501第一轮】==========
ay|n.赞成票；投赞成票者; int.(表同意或赞成的感叹词)好的；是的; =aye.
browse|v.浏览；随意观看；吃草; n.嫩叶；浏览
binder|n.缚者；用以绑缚之物；活页封面；粘合剂；活页夹
breadbasket|n.胃；装面包的篮子；谷物主产地
image|n.印象；形象；影像；图像；肖像; vt.反映；想像；描绘
region|n.地区；范围；领域；地带；地域
images|n.印象；形象；影像；图像；肖像; vt.反映；想像；描绘
cricket|n.板球；蟋蟀; vi.打板球
media|n.传播媒介；(medium的复数)媒体；新闻媒介
states|n.情形；状态；国家；州；政府; adj.国家的；州的；国事礼仪的; v.陈述；声明；说明；规定
farmers|农民
easier|adj.容易些的，更简单的；更轻松的
created|adj.创造的; v.创造；创设；制造; vbl.创造；创作；设立
farms|n.农场；农田; v.务农
zoom-out|拉变焦距镜头拍摄,拉摄
extend|v.延伸；延长；伸展；扩展；提供；使竭尽全力
crowded|adj.拥挤的
opened|v.开启(公开；开证); adj.开的
cheaper|adj.比较便宜的
plow|n.犁；耕地; vt.耕犁；费力通过；破浪前行; vi.耕田；费力前进；辛苦进行
plows|n.犁；耕地; vt.耕犁；费力通过；破浪前行; vi.耕田；费力前进；辛苦进行
soil|n.土地；土壤；污物，粪便; v.弄污
prairie|n.大草原
grasses|n.禾本科植物; 名词grass的复数.
sticky|adj.粘的；闷热的；困难的；令人不满意的
named|adj.出名的；命名的；提到过(名字)的
did|v.做; conj.是；要；做
were|v.是，在，有（be动词的复数过去式）
larger|adj.更大的；较大的
tractor|n.【C】拖拉机；牵引车
flicker|n.闪烁；闪光；颤动; v.闪动；闪烁；摇动
machines|n.机器；做事效率高的人；工具；车辆; v.以机器制造
steam|n.蒸汽；水汽；蒸汽动力；轮船; v.蒸；冒热气；行驶；发怒
tractors|拖拉机
gasoline|n.汽油; 亦写作gasolene
reproduced|v.再生；复制；生殖
activities|n.活动；活跃; vt.表演; adj.厉害
related|adj.相关的；有亲属关系的；属于同一种类的（或组别的）
articles|n.文章；物品；条款；[语]冠词; vt.订契约
depression|n.沮丧；萧条
industrial|adj.工业的；产业的; n.工业公司
revolution|n.革命；变革；重大改变；旋转
factories|n.工厂；制造厂
agriculture|n.农业；农学；农艺
educator|n.教育工作者，教师，老师；教育学家；教育行政官员
stretches|v.伸展；延伸；张开；夸大; n.伸展；张开；弹性；一段时间；刑期; adj.可伸缩的
inventions|n.发明（invention的复数）；创意曲
