budge|v.移动；妥协; n.羔皮; adj.浮夸的；庄严的
convert|v.(使)转变；使…改变信仰；转化；兑换；换算; n.皈依者；改变信仰的人
faint|adj.微弱的；无力的；模糊的; v.昏倒; n.昏厥；昏倒
curdle|v.凝结；变稠; v.(使)结成凝乳；变成凝乳状
wool|n.羊毛；毛线；毛织品
crocodile|n.鳄鱼
blindfold|v.蒙住...的眼睛; n.蒙眼物；盲目; adj.被蒙上眼睛的
bloody|adj.流血的；血腥的；嗜杀的; vt.使流血; adv.[俚]非常
eights|八叠板,八层叠板
happier|adj.更快乐的；更幸福的
nameless|adj.无名的；匿名的；不可名状的
deaths|死亡人口
crown|n.王冠；王权；花冠；顶点；齿冠；克朗（丹麦、瑞典、捷克等国的货币单位）; vt.加冕；使...成王；居...之顶；镶齿冠；使圆满；打…的头部
swimmer|n.游泳者
nights|adv.每晚；在夜晚
dominion|n.统治；主权；领土; Domimion：.; n.英联邦的自治领土
appetite|n.食欲；嗜好；欲望
creation|n.创造；创作
divine|adj.神圣的；神的; vt.推断; vi.预言；理解; n.牧师；神学家
threaten|v.威胁；恐吓；似将发生
dabble|v.喷洒；玩水；泼溅；涉猎；浅尝
disgust|n.厌恶；憎恶；反感; vt.使厌恶；使作呕
syrup|n.糖浆；甜而黏稠的汁液
elegant|adj.优雅的；雅致的
jaw|n.颚；颌；下巴；钳口；说教; v.喋喋不休；教训
bald|adj.秃头的；单调的；无装饰的; v.（使）变秃头
hem|n.褶边; vt.缝边；包围；约束
deli|n.(=delicatessen)熟食店
helplessly|adv.无能为力地；无助地
ultimate|adj.根本的；极限的；最后的；终极的; n.终极；极品；根本
maple|n.【C】枫树；槭树; n.【U】枫树干
harness|n.马具；安全带；甲胄；系在身上的绳子; vt.束以马具；披上甲胄；利用；管理；控制
rattle|vi.嘎嘎作响；喋喋不休; vt.使惊惶失措；使恼火；使作响；急促地谈讲; n.嘎嘎声；嘎嘎响的东西；拔浪鼓
dribble|vt.使...慢慢流下；运球；细流；流口水; n.少量；细流
demotic|adj.平民的；民众的；通俗的
eagerly|adv.渴望地
summon|vt.召唤；召集；振奋
stall|n.栅栏；小隔间；货摊；座位; v.把...关进畜舍里；失速；熄火；拖延；（使）动弹不得
wink|n.眨眼；使眼色；瞬间; v.眨眼；使眼色；闪烁
creator|n.创造者；[计]创建者; Creator.; n.上帝
disk|n.圆盘；唱片；花盘；磁盘；盘形物
maker|n.制造者；制定者; Maker:上帝.
splash|n.溅泼（声）；溅泼的量；溅污的斑点；骚动；少许; v.溅（湿）；报道
stroll|n.闲逛；漫步; v.闲逛；漫步
dedication|n.奉献；献词；献堂礼
jealousy|n.妒忌
overtime|n.加班时间(加班加点费)；(比赛)延长时间; adv.在规定时间之外(超出时间地)
supporter|n.支持者；拥护者；支撑物
raging|adj.狂暴的；非凡的；熊熊燃烧的
pillar|n.柱子；支柱；核心(人物); vt.用柱支持
banquet|n.宴会; vi.参加宴会; vt.宴请；设宴
distraction|n.分心；分心的事物；注意力分散；娱乐；消遣；发狂
courier|n.送快信的；急差；旅行服务员
desperate|adj.绝望的；不顾一切的；极其想要的
jealous|adj.妒忌的；羡慕的；嫉妒的
developing|adj.发展中的
dungeon|n.地牢；土牢；城堡主塔
doggy|n.小犬；小狗（=doggie）; adj.爱狗的；像狗一样的；摆阔的；低级的
bravely|adv.勇敢地
droop|v.低垂；下垂；(草木)枯萎；(精神)萎靡; n.下垂；消沉
tight|adj.紧的；紧身的；密集的；拮据的; adv.紧紧地；牢固地；迅速地
dwell|vi.居住；存在；冥想；详细阐述
bronze|n.青铜；青铜色；青铜制品；铜牌; adj.青铜制的；青铜色的; vt.使成青铜色
disgusting|adj.令人厌恶的
demon|n.魔鬼；恶魔；精力充沛的人；高手
fling|vt.投；粗暴地推向...；猛冲；激动地说；全身心投入; n.投掷；一时的行乐；漫不经心的一段(尝试或感情); vi.急冲；(动物)猛跳
darkness|n.黑暗
efficiency|n.效率；功率
drift|vi.漂流；漂移；吹积；漂泊；偏离; vt.使漂流；使堆积; n.漂流；趋势；漂泊
combination|n.结合；结合到一起的事物或人；密码
drape|n.布帘；褶皱; v.用布帘覆盖；（使）呈褶裥状；悬挂
unharmed|adj.没有受伤的；无恙的
deck|n.甲板；层面；一副牌; vt.装饰；用力击倒
bonding|n.形成的亲密关系；[牙]黏结
demi|pref.半
