vial|n.小瓶；药水瓶; v.把...放入小瓶中
jab|v.刺；戳；猛击; n.戳；刺；猛击; 注射
toddler|n.初学走路的孩子
yield|v.生产；获利；屈服；弯下去; n.投资收益；生产量
vase|n.花瓶
wilderness|n.荒野；荒地
rip|v.撕裂；扯开; n.裂口；裂缝；撕裂
emergency|n.突发事件；紧急状态; adj.应急的；紧急的；备用的
rye|n.黑麦；黑麦威士忌酒；吉卜赛男人
stretched|拉伸的
topical|adj.谈论的；时事问题的；局部的
groom|n.新郎；马夫；王室侍从者; v.打扮；梳理毛发；培养；准备（滑雪）赛道
turnout|n.到场人数；产出；衣着；投票人数；出动；扫除
porch|n.门廊
unspoiled|adj.未损坏的；未宠坏的
unfold|v.展开；开放；显露
luckily|adv.幸运地；幸亏地
wire|n.金属丝；电线；电报; vt.发电报；装电线；(通过电线)接通；用金属丝把...连一起；电汇
upraised|adj.举起的
cracker|n.薄脆饼干；发出爆裂声的东西；爆竹；裂化设备；黑客；迷人的女子；自夸的人；穷苦白人; (复)crackers：n.胡桃钳; Cracker; n.佛罗里达州和乔治亚州当地居民的别名
core|n.核心；果心；要点; vt.挖去果核
socialist|adj.社会主义的; n.社会主义者
mantle|n.斗篷；覆盖物；墙的外皮；（汽灯的）纱罩；[地]地幔; v.覆盖；笼罩；脸红
triumphantly|adv.胜利地；得意洋洋地
lowly|adj.地位低的；卑下的；谦卑的; adv.位置低下地；低声地；谦逊地
ignite|vi.着火；燃烧; vt.点燃；使...燃烧；引发
digest|n.摘要; vt.消化；理解; vi.消化
librarians|图书馆员
halfway|adj.中途的；不彻底的; adv.半路地；在…中间；折中地
crack|v.破裂；砸开；发出爆裂声；撞击；破解；变嘶哑；崩溃；制裁；开玩笑; n.裂缝；裂痕；爆裂声；猛击；尝试；俏皮话; adj.训练有素的
shining|adj.光亮的；华丽的
graveyard|n.墓地；废弃场地
grandparents|n.外祖父母；祖父母
barriers|障碍
trader|n.商人；商船
correlation|n.相互关系；相关；关联
cocoa|n.可可粉；可可饮料；可可色
salute|v.行礼；致意；问候; n.致敬；敬礼；欢迎
creamy|adj.含乳脂的；乳脂状的；奶油色的
disrupt|vt.干扰；打断；妨碍；使分裂；使破裂
uphill|adv.上坡地；向上地; adj.上坡的；向上的；费力的; n.上坡
anchor|n.锚；锚状物；依靠；新闻节目主播；压阵队员; v.抛锚；停泊；用锚系住；担任（广播电视新闻节目）的主持人
weaken|v.使...弱，削弱；变弱；弄淡
drags|n.铸锭列车；锭模列车
unbeatable|adj.难以战胜的；竞争不过的；无敌的；无与伦比的
disagreement|n.不合；争论；不一致
thaw|n.融雪; v.使融解；暖和
mush|n.浓粥；糊状物；感伤的话; v.使成糊状；驾驶（狗撬等）; int.走!前进！
ivory|n.象牙；乳白色
patrol|n.巡逻；巡查; v.巡逻；巡查
villagers|n.乡下人
velvet|n.天鹅绒；意外之财; adj.天鹅绒的
blizzard|n.暴风雪；大量; n.暴雪（美国游戏软件制作公司）
downstream|adv.朝下游方向; adj.顺流的
unaware|adj.没有发觉的；不知道的
breed|v.繁殖；养育；引起，产生；教养; n.品种；血统
untie|v.解开；松开
twist|v.缠绕；捻；搓；拧；扭曲; n.拧；捻；扭曲；盘旋；弯曲处
violently|adv.猛烈地；强烈地；暴力地
cockroach|n.蟑螂
dumb|adj.哑的；愚蠢的；不能说话的; vt.使沉默
homemade|adj.自制的；国产的
label|n.标记；标签；称号；唱片公司; vt.贴标签于；把...归类
slimy|adj.黏滑的；卑劣的
recreate|v.再创造；使得到休养；得到消遣；休息娱乐
remedy|n.治疗法；药物；补救; vt.治疗；补救；矫正
monitor|v.监视；监督；监听; n.班长；监视器；监听员；[计算机]显示器
pad|n.便签纸；衬垫；发射台；公寓；脚印；肉趾; n.低沉声音；缓慢行走的马; v.填塞；夸大; v.轻轻走
ugliness|n.丑陋
flip|vt.掷；轻击；弹; vi.翻转; n.（跳水或体操动作中的）空翻；轻弹；浏览; adj.无礼的；冒失的；轻率的
tribal|adj.部落的
anytime|adv.任何时候；总是，无例外地
rainy|adj.多雨的；下雨的
gulf|n.海湾；鸿沟; vt.吞没
offense|n.过错；冒犯；触怒；犯规；犯罪；进攻
unrelated|adj.不相关的；无亲属关系的
fuse|n.保险丝；导火线；引线; vt.熔化；融合；装导线；装引信于; vi.熔化；融合
trustworthy|adj.可信赖的
quote|v.引述；报价；举证; n.引用
visibility|n.能见度；可见性
galaxy|n.银河；星系；一群杰出的人
pee|n.小便; vi.小便
alley|n.胡同；巷；跑道；球道
barn|n.谷仓；牲口棚；车库；大而空荡的农屋
rusty|adj.生锈的；荒废的；锈色的
upwind|adv.逆风的; adj.逆风的
ribbon|n.缎带；带状物；色带; vt.用丝带装饰；撕碎
truly|adv.真实地；真诚地；正确地
wag|v.(狗)摇摆(尾巴)；(狗尾巴)摇摆；摇(头或手表示不赞成)；逃学；饶舌；离别; n.摇摆；诙谐幽默的人；逃学
nervousness|n.神经紧张；情绪不安
cabin|n.船舱；机舱；小木屋; vt.抑制; vi.住在小屋
stormy|adj.暴风雨的；激烈的；粗暴的
underworld|n.黑社会；下层社会；阴间；地球
peer|n.同辈；同等的人；贵族; vi.凝视；窥视
airlines|n.航空公司
bunny|n.小兔子
burner|n.燃烧器；火炉
skiing|n.滑雪；滑雪术
mill|n.磨坊；工厂；磨粉机; v.碾碎；磨；（使）乱转
stinky|adj.恶臭的
