extent|n.广度；宽度；长度；大小；范围；程度; n.[律]扣押；临时所有权令
happening|n.偶然发生的事；（大型拼贴艺术的）偶生艺术；即兴表演; 动词happen的现在分词形式.
incorrect|adj.不正确的；错误的
twins|n.双胞胎
distribution|n.分布；分发；分配；散布；销售量
lava|n.熔岩；火山岩
propellers|螺旋辊
strut|n.高视阔步；支柱; v.趾高气扬地走；支撑
blasting|n.爆破；鼓风；喷砂法；气流加速运动；过载; 动词blast的现在分词形式.
generally|adv.一般地；通常；普遍地
walks|n.脚步；小路; 名词walk的复数形式.
ensure|vt.担保；保证；使安全；确保
within|prep.在(某段时间、距离或范围)内；在…里面; adv.在…里面; n.内部
prince|n.王子；亲王；诸侯
definitely|adv.肯定地；当然地；明确地
flyer|n.飞行员；传单；投机; =flier.
accepted|adj.公认的；录取的；可接受的；已承兑的
ramp|n.坡道；斜坡；移动舷梯; vi.加速；横冲直撞；敲诈
grant|v.授予；同意；承认；认为; n.授予物；补助金；同意；给予；财产转让; Grant.; n.格兰特(男名)
violence|n.猛烈；暴力；暴行；强暴
artificial|adj.人造的；虚伪的；武断的
exploring|n.探索；探测; 动词explore的现在分词形式.
considerable|adj.重要的；相当大的；可观的
prior|adj.优先的；在前的；更重要的; adv.居先；在前
clearly|adv.清楚地；显然地
community|n.社区；社会；公众；共同体；团体；共享；共有；[生]群落
crew|n.全体船员；全体乘务员；(一组)工作人员；划艇队员; v.当船员；当机务人员
additional|adj.附加的；额外的
improvements|改进
increasingly|adv.逐渐地；越来越多地
democratic|adj.民主的；民主党的；大众的
obstacle|n.障碍；绊脚石
crested|adj.有羽冠的；有顶饰的；有饰章的
universe|n.宇宙；万物；世界
relationships|关系[式]
leadership|n.领导；领导才干
fluid|n.液体；流体; adj.流动的；流畅的；不定的
council|n.地方议会；委员会；理事会；会议；委员
division|n.划分；除法；部门；分开；师（军队）
redistribute|v.重新分配；再区分
going|n.去；离去；地面(或道路)的状况；进展; (复)goings:行为.; adj.运转中的；营业中的；现有的；流行的
wheeled|adj.有轮的；带行走轮的；轮式的; 动词wheel的过去式和过去分词形式.
flatter|v.奉承；恭维；取悦；显得好看
tunnel|n.隧道；地道；洞穴; v.挖地道；挖隧道
rolls|n.面包卷；名册（名词roll的复数形式）; 名词roll的复数形式.
crane|n.鹤；起重机; v.起吊；伸长(脖子)；犹豫
banister|n.栏杆的支柱；楼梯的扶栏; =bannister.
bad|adj.坏的；不好的；差的；疼痛的；严重的；有害的；腐败的；低劣的；不利的；不舒服的；不健康的; n.坏人；坏事; adv.非常；不好地
expedition|n.远征；探险队；迅速
tightly|adv.紧紧地；坚固地
panel|n.嵌板；仪表盘；面板；座谈小组；陪审团; v.嵌镶
swimming|n.游泳; adj.会游泳的；游泳的; 动词swim的现在分词.
tube|n.管子；管状物；地铁；电视；管状器官; v.提供或装上管子
continuously|adv.不断地；连续地
eventually|adv.最后；终于
eyeball|n.眼球；眼珠; v.盯着；打量
swatch|n.（布料等的）样品; Swatch.; n.斯沃琪(一瑞士手表品牌)
install|vt.安装；安置；使...就职
cellulose|n.纤维素
goof|n.愚蠢的人；愚蠢的错误; v.闲混；犯错误；做蠢事；把...弄得一团糟
expenditure|n.开支；消耗
visor|n.帽舌
considered|adj.考虑过的；被尊重的
arrival|n.到达；达到；到达者；新生儿
deadly|adj.致命的；如死一样的; adv.非常地；如死一般地
blurry|adj.模糊的；失去焦距的
dynamics|n.力学；动力学；动态；[音]力度
slower|adj.慢一点; 形容词slow的比较级.
largest|adj.最大的
no-one|没有一个
stairs|n.楼梯
army|n.军队；陆军；一大批
shortly|adv.立刻；马上
belly|n.腹部; v.膨胀
orbiter|n.轨道飞行器；人造卫星
union|n.结合；工会；联盟；和睦；连接轴；【数】并，并集; adj.联邦政府的；工会的
herself|pron.她自己；她亲自
planets|行星
designing|adj.狡猾的；有预谋的; n.设计; 动词design的现在分词.
cosmodrome|n.人造卫星发射基地
fabric|n.结构；织物；构造
game|n.游戏；运动会；比赛；一场比赛；比赛得分；猎物；花招; v.赌博; adj.勇敢的；乐意的；跛的
female|adj.女性的；雌性的; n.女性；雌性动物；[植]雌株
rough|adj.粗糙的；粗略的，大概的；粗暴的；艰难的；讨厌的；不适的；汹涌的; adv.粗糙地；粗暴地; n.粗制品；暴徒；高低不平的路面; vt.使粗糙；殴打；草拟
running|adv.连续地; n.跑步；运转；管理
coding|n.编码; 动词code的现在分词形式.
hallways|n.（美）走廊；门厅（hallway的复数）
alternative|adj.两者择一的；供选择的；非主流的; n.二者择一；供替代的选择
thread|n.线；思路；螺纹；线索；细丝；帖子; vt.穿过；穿线于；遍布; vi.滴下成丝状；小心地通过；蜿蜒前进
particularly|adv.特别；尤其；详细地
joint|adj.联合的；共同的；连带的；合资的; n.关节；接头；接合处；接缝；夜总会; v.贴合；连接
risky|adj.危险的；冒险的；大胆的
liquid|adj.液体的；液态的；清澈的；清脆的；已转化成现款的（财）; n.液体
payment|n.支付；支付的款项；报偿；报应
crisis|n.危机；危急关头
yearly|adj.每年的; adv.每年地；一年一次地
horizons|剖面
reconnaissance|n.侦察；勘察
detailed|adj.详细的
avalanche|n.雪崩；大量; v.雪崩
