travelers|旅游者
amused|adj.愉快的；顽皮的；被逗乐的；觉得好笑的
rowing|n.划船，赛艇运动
thereafter|adv.其后；从那时以后
goody|n.想要的东西；甜食；伪善者；身份低微之老妇; int.这实在太好了
newborn|adj.新生的; n.新生儿
flute|n.长笛；凹槽; vi.吹长笛；发出笛声; vt.刻凹槽
bordering|n.边缘(设立疆界；边界标志物)
reflective|adj.反射的；反映的；沉思的
athletic|adj.运动的；活跃的；健壮的
biographical|adj.传记的
spill|v.溢出；洒；使...流出；泄漏; n.溢出；流；木片；小杆
overthrow|v.推翻；打倒；颠覆；[体]高投; n.推翻；瓦解；颠覆；[体]高投
chant|n.圣歌；赞美诗；旋律；喊叫; v.吟唱；诵扬；叫喊
torrent|n.激流；山洪；(谩骂、质问等的)连发，爆发
canary|n.金丝雀；加那利舞；加那利白葡萄酒；告密者
impatient|adj.不耐烦的；急躁的
thump|v.重击；怦怦跳；猛击；用拳头打; n.重击声；重打
fictional|adj.虚构的；小说的
spawn|n.卵；产物；后代；结果; vt.产卵；种菌丝于；产生；造成; vi.产卵；大量生产
screeching|发动机啸声
separately|adv.分别地；个别地；独立地；分开地
sneaky|adj.鬼祟的；卑鄙的
dome|n.圆屋顶；苍穹；脑袋；圆形的火山口; vt.加圆屋顶于...上；使成圆屋顶; vi.成圆顶状
poodle|n.狮子狗
continual|adj.不断的；频繁的；连续的
peppy|adj.精神充沛的；活泼的
mornings|n.每天上午；在任何上午
vulture|n.秃鹰；兀鹰；贪婪的人
swan|n.天鹅; vi.闲荡；游荡
wedding|n.婚礼；结合
spelling|n.拼法；拼写
togetherness|n.相聚；在一起；和睦
immature|adj.不成熟的
hoist|v.升起；升高；举起; n.起重机；升高
postal|adj.邮政的; n.明信片
tremendous|adj.巨大的；惊人的
pa|n.爸爸
freely|adv.自由地；免费地；直率地；大量地
tornado|n.龙卷风；飓风；旋风
classroom|n.教室；课堂
outfit|n.配备；用具；机构; vt.配备；供应; vi.得到装备
delicate|adj.微妙的；精美的；纤细的；脆弱的；敏锐的；美味的
reptile|n.爬行动物；卑鄙的人; adj.爬虫类的
scatter|vt.散播；撒；驱散; vi.分散；消散; n.散布；零星少量
plaything|n.玩具；玩物；被玩弄的人
skilled|adj.有技能的；熟练的
gardener|n.园丁；花匠
throne|n.王位；君主
bland|adj.温和的；不油腻的；引不起兴趣的；平淡无奇的
provoke|vt.激怒；惹起；驱使
generator|n.发电机；发生器
edition|n.版；版本
outsmart|v.比...更聪明；智胜
peep|n.瞥见；偷看；初现; n.吱吱叫; v.窥视；慢慢露出; v.吱吱叫
trapdoor|n.地板门；活板门；活盖
cuff|n.袖口；手铐; n.巴掌; v.为...上袖口；带手铐; v.轻拍；掴
log|n.原木；圆木；(航海、飞行)日志；(船)计程仪; v.伐木；记入(日志)
cycling|n.骑自行车
dancer|n.跳舞者；舞蹈演员
enjoyment|n.享受；令人愉快的事
overlord|n.霸王；大君主；最高君主
powerfully|adv.非常地；强有力地
locate|vt.找出；把...设置在；使坐落于; vi.住下来
spice|n.调味品；香料；情趣; v.用香料调味；给…增添趣味
wiggle|v.扭动；摆动; n.扭动；蠕动；奶油青豆烧鱼
justices|公平
credits|演职员名单
professors|大学教授
vicious|adj.恶毒的；恶意的；剧烈的；堕落的
perfume|n.香水；香气; vt.洒香水于；使香气弥漫
ah|int.啊；哈; =aah.
ballet|n.芭蕾舞
trauma|n.创伤；外伤
interior|adj.内地的；国内的；内部的; n.内部；内在
rump|n.[鸟]尾部；[兽]臀部；余党
tremble|n.战悚；颤抖; v.发抖；忧虑；震颤
kingdoms|王朝
collapsed|adj.倒塌的
rattlesnake|n.响尾蛇
grateful|adj.感激的；令人愉快的
peg|n.钉；支柱；借口; vt.钉木桩；扔; vi.努力工作；匆忙走
canal|n.运河；沟渠；气管；食管; vt.建运河；疏导
ante|n.(纸牌游戏中发牌钱下的)赌注；(需预付的)款项; v.下赌注；付款; pref.表示“前”
scenery|n.风景；背景；布景
sled|n.雪撬
sniff|vi.嗅；嗤之以鼻；找出; vt.嗅到；吸入；嗤之以鼻地说; n.嗅；吸气；气味
participants|adj.有份的；n
steadily|adv.稳定地；稳固地；逐步地
bravery|n.勇敢；华丽(的衣服)
unpredictable|adj.不可预知的
pyramid|n.金字塔；棱锥体；[证券]金字塔式交易法; v.急速增加；以金字塔的模型构建
boxing|n.拳击；盒式包装；制箱材料
la|n.A音的唱名；第六音; int.啊呀；呀
automatically|adv.自动地；机械地
slippery|adj.滑的；狡猾的；不可靠的
lightly|adv.轻轻地；轻快地；轻蔑地；轻率地；轻微地
goddess|n.女神；受崇拜的女性
tickle|vt.使发痒；逗乐；使快乐; vi.觉得痒; n.痒；抓痒
pendragon|n.古代不列巅或威尔斯的王侯；首领；旨长
