broccoli|n.西兰花；花椰菜；甘蓝花
females|女性
skull|n.头骨；骷髅头
bubbly|adj.多泡的；起泡的；(人)总是喜悦的; n.香槟酒
frustrated|adj.失意的；沮丧的；失败的
antler|n.鹿角；茸角
cherry|n.樱桃；樱桃树；樱桃色；处女膜
pit|n.坑；矿井；陷阱；凹痕；(剧院的)正厅后排；（枣）核; vt.使凹陷；使竞争; vi.凹陷
guarani|n.巴拉圭的货币单位
pilgrimage|n.朝圣之旅；人生历程; vi.朝圣
batter|v.猛击；打坏；往后递倾; n.打击手；面糊；斜外墙
gooey|adj.胶粘的；（表达情感的方式）愚笨或过于热烈的; n.胶粘物
grasslands|草原
mango|n.芒果
pouch|n.小袋；小包；囊状袋; vt.装...入袋中；用袋运输; vi.用袋送信件
bilingual|adj.双语的
loudly|adv.大声地；高声地；花俏地
emails|邮件
leopard|n.豹，美洲豹；豹的毛皮；豹皮外衣；【纹章学】狮子侧身行走像
elect|v.选举；选择; adj.精选的；当选的；[神学]被上帝选中的; n.被选中者；[神学]上帝的选民
hula|n.呼拉舞；草裙舞
unwanted|adj.不需要的；多余的；无用的；讨厌的；不受欢迎的
versus|prep.对抗；与...相对(略作v.或vs.)
pile|n.堆；大量；绒面；桩；大笔钱财; 高大的旧建筑; v.堆积；积累；拥入；夸张
spark|vi.闪烁；冒火花；热情回应; vt.激发；引起；向...求爱; n.火星；朝气；情人；俗丽的年轻人
sugarloaf|n.棒状糖；圆锥形的帽子；研钵状的山
re|prep.关于; pref.再，重新; n.长音阶的第二音
suffrage|n.投票；选举权；参政权
substance|n.实质；物质；财产；内容；重要性
coconut|n.椰子
shear|n.修剪；剪下的东西；大剪刀; v.剪掉；剪；剥夺
inch|n.英寸；少量; v.慢慢移动; （复）inches:身高.
backbones|中轴骨
lemonade|n.柠檬水
hide-and-seek|n.捉迷藏
guitar|n.吉他
pitcher|n.水罐；[棒球]投手；[植]瓶状叶
literally|adv.逐字地；按照字面上地；不夸张地；正确地；简直
vortex|n.漩涡；旋风
friendliness|n.友好；亲切
elephants|象类；n.；长鼻目
soda|n.汽水；苏打
republic|n.共和国；共和政体
haven|n.港口；避难所; v.安置...于港中；庇护
sacred|adj.神圣的；受尊重的
rana|中国林蛙,蛙属
thunderstorms|雷暴
slither|v.（使）滑行；（使）滑动
compost|n.混合肥料；堆肥; v.使成堆肥
monument|n.纪念碑；历史遗迹；不朽作品
eagle|n.鹰
simulator|n.模拟器
coil|n.卷；圈；线圈; v.盘绕；卷成圈
leaf|n.页；叶；金属薄片; v.长叶；翻页
raindrops|雨点
carper|n.吹毛求疵者；苛评者
runner|n.赛跑的人；跑步者
classified|adj.分类的；类别的；机密的
jackrabbit|n.长耳大野兔
lawyer|n.律师
hump|n.驼背；圆形隆起物；土墩；肿块；碰撞；恼火; v.使隆起；碰撞；敲击成圆丘形；弓起
garment|n.衣服; vt.给...披上衣服；覆上...
extremist|n.极端主义者；过激分子; adj.极端的
magical|adj.魔术的；有魔力的；神奇的；迷人的
lasagna|n.(=lasagne)烤宽面条(上浇肉末番茄汁)
