dabble|v.喷洒；玩水；泼溅；涉猎；浅尝
gruesome|adj.可怕的；令人毛骨悚然的；阴森的
secretly|adv.秘密地；背地里
divine|adj.神圣的；神的; vt.推断; vi.预言；理解; n.牧师；神学家
stadium|n.体育场；运动场；[生]期
yew|n.紫杉；紫杉木
gigantic|adj.巨大的
giggle|v.咯咯地笑; n.咯咯笑；趣事
slapping|adj.出奇地快；巨大的；极好的; adv.极快地；非常地
hike|n.徒步旅行；远足；涨价; vi.远足；提高
freshly|adv.新近；刚才
practiced|adj.熟练的；老练的；练成的
cannonball|n.炮弹；抱膝跳水；高速列车；炮弹式发球; v.以极快速度移动；抱膝跳水
gnaw|v.咬；折磨；侵蚀
poh|int.轻视之声; vt.使疲倦
plaything|n.玩具；玩物；被玩弄的人
ravenous|adj.贪婪的；极饿的
shiner|n.发光物；发光体；银色小鱼；黑眼眶
unspoiled|adj.未损坏的；未宠坏的
ankle|n.踝；踝关节
intercept|n.截取；妨碍；截距; vt.拦截；阻止
baboon|n.狒狒
lousy|adj.多虱的；可鄙的；差劲的; adj.【口】大量的（通常指不好的事物）
shiver|v.颤动；发抖; v.打碎; n.冷颤；哆嗦; n.碎块
jigsaw|n.拼图游戏；缕花锯；竖锯; vt.用竖锯锯；使互相交错搭接
sleeve|n.套管；袖子
gasp|v.喘气；喘息；渴望; n.喘气
sickle|n.镰刀
distraction|n.分心；分心的事物；注意力分散；娱乐；消遣；发狂
architect|n.建筑师; n.【喻】缔造者；创造者
unaware|adj.没有发觉的；不知道的
nephew|n.外甥；侄子
sternly|adv.严格地；严肃地；坚定地
revolve|v.旋转；考虑；围绕
heave|v.用力举起；抛出；扔；恶心；（费力地）发出（叹息等）; n.举；抛；起伏
harrumph|n.哼声；鼻息; v.发哼声
scurry|v.小步疾走；急赶; n.快跑声；疾走
teamwork|n.合作；协同工作
bleat|n.羊的鸣声；哀鸣; v.发出羊叫声；哀鸣；哭诉
gleam|v.闪烁；隐约地闪现; n.微光；闪光；闪现
harmony|n.和谐；协调；调和；和声
droop|v.低垂；下垂；(草木)枯萎；(精神)萎靡; n.下垂；消沉
awaken|v.醒；意识到；唤醒；激起；使意识到；使唤醒
needlepoint|n.针尖；针绣花边
imperceptibly|adv.极微小地；逐步地
helpless|adj.无助的；无依靠的
wag|v.(狗)摇摆(尾巴)；(狗尾巴)摇摆；摇(头或手表示不赞成)；逃学；饶舌；离别; n.摇摆；诙谐幽默的人；逃学
desperate|adj.绝望的；不顾一切的；极其想要的
myth|n.神话；虚构的故事
binding|n.镶边；（书籍的）封皮；（滑雪板的）皮靴固定装置; adj.必须遵守的；有法律约束力的
mug|n.脸；杯；一杯的量；恶棍; v.打劫；突击学习
announcer|n.广播员；告知者
tetanus|n.破伤风
gravel|n.碎石; v.铺碎石；使困惑
mist|n.雾；迷蒙；朦胧不清; vt.使…模糊；蒙上雾; vi.使模糊；下雾
rubber|n.橡胶；橡皮；橡胶制品; adj.橡胶的
lowness|n.低；下贱；粗鄙
redouble|v.加倍；再折叠；重复
racket|n.球拍; n.喧闹；敲诈；行业；职业; v.喧闹；花天酒地
builder|n.建设者；建筑工人；促进剂；增洁剂
darkness|n.黑暗
throne|n.王位；君主
misfortune|n.不幸；灾祸
adrift|adv.漂流地；漫无目的地; adj.漂泊的；漫无目的的；松开的
trapdoor|n.地板门；活板门；活盖
jogging|n.慢跑
statue|n.雕像；塑像
scoreboard|n.记分板
premium|n.额外费用；奖金；保险费; n.(商)溢价; adj.高价的；优质的
potion|n.一服，一剂；（药物、毒物或有魔力的）饮料
xi|n.希腊语中的第十四个字母
dungeon|n.地牢；土牢；城堡主塔
bundle|n.捆；束；包；大笔钱; v.捆；把...扎成一捆；匆忙地走
momentous|adj.重要的；重大的
behold|vt.看到；注视；领悟; vi.看；看啊(多用于祈使句；引起人的注意)
badger|n.獾；獾皮(毛); Badger:獾州人(对威斯康星州人的昵称).; v.纠缠；一再烦扰；吵着要
barque|n.三桅船；轻舟
punishment|n.惩罚
charm|n.魅力；吸引力；迷人；美貌; v.（使）着迷；施魔法
curdle|v.凝结；变稠; v.(使)结成凝乳；变成凝乳状
