reserve|vt.保留；预订；延期; n.候补；预备品；贮存; n.含蓄；克制
judicial|adj.司法的；法庭的；公正的；审判上的
racket|n.球拍; n.喧闹；敲诈；行业；职业; v.喧闹；花天酒地
mangle|v.碾压；损坏；糟蹋；乱切; n.碾压机
headquarters|n.总部；司令部；指挥部
quietly|adv.安静地；悄悄地；平静地
harpy|n.残酷贪婪的人；恶妇人; Harpy.; n.[希神]哈耳皮埃(鸟身女妖)
helpless|adj.无助的；无依靠的
ravenous|adj.贪婪的；极饿的
myth|n.神话；虚构的故事
jerk|v.急动；猛拉; n.猛拉；急动；笨蛋；蠢人; adj.颠簸不稳的
outline|n.大纲；轮廓; vt.概述；画出轮廓
eagerly|adv.渴望地
mutter|v.咕哝；抱怨；低语; n.嘟哝；抱怨；低语
hideous|adj.丑陋的；可怕的；可憎的；令人惊骇的
intercept|n.截取；妨碍；截距; vt.拦截；阻止
mist|n.雾；迷蒙；朦胧不清; vt.使…模糊；蒙上雾; vi.使模糊；下雾
splash|n.溅泼（声）；溅泼的量；溅污的斑点；骚动；少许; v.溅（湿）；报道
salads|沙拉
lunge|n.刺；刺进；跃进; v.猛向前冲；踢；刺出
habitats|生境
mug|n.脸；杯；一杯的量；恶棍; v.打劫；突击学习
preacher|n.传道者；讲道者；牧师
ultimate|adj.根本的；极限的；最后的；终极的; n.终极；极品；根本
lure|vt.诱惑；吸引; n.诱惑；吸引力；饵
medaled|adj.接受奖章的；佩带徽章的
poh|int.轻视之声; vt.使疲倦
rally|n.集会；（价值等）回升；回合; vi.重整旗鼓；恢复精神；(人)集合起来; vt.嘲弄；重新召集；激励
mule|n.骡子；固执的人；走私毒品者; n.拖鞋
hourglass|n.时漏；砂漏；水漏
shed|vt.除掉；使脱落；使流出；使清晰; n.小屋；车棚
democracy|n.民主国家；民主；民主制
lees|n.沉淀物；渣滓
heave|v.用力举起；抛出；扔；恶心；（费力地）发出（叹息等）; n.举；抛；起伏
premium|n.额外费用；奖金；保险费; n.(商)溢价; adj.高价的；优质的
mysteriously|adv.神秘地；故弄玄虚地
hie|v.快走；赶紧；催促
fling|vt.投；粗暴地推向...；猛冲；激动地说；全身心投入; n.投掷；一时的行乐；漫不经心的一段(尝试或感情); vi.急冲；(动物)猛跳
carriers|载体
harrumph|n.哼声；鼻息; v.发哼声
condensation|n.浓缩；凝结；液滴
hem|n.褶边; vt.缝边；包围；约束
kaboom|背着网接团身后空翻
jaw|n.颚；颌；下巴；钳口；说教; v.喋喋不休；教训
huddle|n.杂乱一团；混乱；拥挤; v.推挤；乱堆；草率了事
hiccup|n.打嗝；暂时性的小问题; vi.打嗝; =hiccough.
kindness|n.仁慈；好意；友好的行为
lease|n.租约；租契；租期; vt.出租；租得
disgust|n.厌恶；憎恶；反感; vt.使厌恶；使作呕
practiced|adj.熟练的；老练的；练成的
jealous|adj.妒忌的；羡慕的；嫉妒的
homecoming|n.归国；回家；返校节
jigsaw|n.拼图游戏；缕花锯；竖锯; vt.用竖锯锯；使互相交错搭接
luck|n.运气；幸运；侥幸; v.侥幸成功；走运
muse|v.沉思；冥想; n.沉思；[大写]（希腊神话）缪斯；艺术家的灵感；诗人
nights|adv.每晚；在夜晚
punishment|n.惩罚
loaf|n.（一条）面包；块; vi.游手好闲；虚掷光阴
lovingly|adv.钟情地；深情地
plead|v.辩护；恳求；提出借口；认罪
imperceptibly|adv.极微小地；逐步地
ire|n.愤怒
dwell|vi.居住；存在；冥想；详细阐述
horror|n.恐怖；战栗；厌恶；震惊; adj.恐怖的
combination|n.结合；结合到一起的事物或人；密码
maze|n.迷宫；曲径；迷惑; vt.使迷惑
chamber|n.室；会议厅；房间; adj.【音】室内的，小型的；私人的，秘密的
dribble|vt.使...慢慢流下；运球；细流；流口水; n.少量；细流
lifeboat|n.救生船
rage|n.狂怒；大怒；狂暴；肆虐；风行; v.大怒；怒斥；激烈进行；肆虐
mishap|n.不幸之事；灾祸；恶运
liberate|v.解放；使获得自由；释出；放出
horizon|n.地平线；眼界；范围
henceforth|adv.今后，此后
barge|n.驳船; vi.猛撞；冲；闯; vt.以驳船载运
neatly|adv.整洁地；熟练地
lag|v.落后；减退；缓慢进行; n.落后；时间间隔
puddle|n.水坑；地上积水；胶泥; v.搅浊；在泥污中打滚；排尿
humbly|adv.恭顺地；谦卑地
lowness|n.低；下贱；粗鄙
necked|v.颈缩(冲槽); adj.压缩的
hike|n.徒步旅行；远足；涨价; vi.远足；提高
wink|n.眨眼；使眼色；瞬间; v.眨眼；使眼色；闪烁
lousy|adj.多虱的；可鄙的；差劲的; adj.【口】大量的（通常指不好的事物）
waterfall|n.瀑布
potion|n.一服，一剂；（药物、毒物或有魔力的）饮料
mansion|n.大厦；宅邸；公寓
muddy|adj.泥泞的；浑浊的；糊涂的; v.使沾上烂泥；使...混浊；使迷惑
momentous|adj.重要的；重大的
hood|n.头巾；兜帽；遮罩；引擎盖; vt.覆盖
helplessly|adv.无能为力地；无助地
privacy|n.隐居；隐私；秘密；私生活
happier|adj.更快乐的；更幸福的
ichor|n.[希神]灵液；[医]脓水
moonlight|n.月光; v.兼职; adj.夜间的
jogging|n.慢跑
toad|n.蟾蜍；癞蛤蟆
needlepoint|n.针尖；针绣花边
misfortune|n.不幸；灾祸
jealousy|n.妒忌
