waterfall|n.瀑布
groan|v.呻吟；抱怨；发嘎吱声；受重压; n.呻吟；呻吟声
wicked|adj.坏的；邪恶的；缺德的; adv.极端地；非常地; vt.吸收
brass|n.黄铜(制品)；铜管（乐器）；厚脸皮; adj.黄铜的
offerings|n.提供之物
kindness|n.仁慈；好意；友好的行为
spiral|n.螺旋；螺旋形之物；不断恶化、增加或减少; v.螺旋移动；盘旋上升；不断恶化、增加或减少; adj.螺旋形的；盘旋的
helper|n.助手；帮手
bull|n.公牛；股市看涨的人；警察; n.荒谬的话; n.教皇诏书; adj.公牛的；鲁莽的
goddess|n.女神；受崇拜的女性
officially|adv.官方地；正式地；公务上；职务上
terribly|adv.可怕地；非常地；很
shove|v.推挤；撞；乱塞；乱放; n.推；挤
sweat|n.汗水; n.焦急；繁重工作；(凝结在物体表面的)水珠; v.(使)出汗
tournament|n.锦标赛；比赛；比武
cast|v.掷；抛；投；铸造；指定演员；加起来；投射(目光)；投(票)；预测; n.演员阵容；投掷；[医]固定用敷料
fingertips|指尖
beer|n.啤酒
wanna|想要（仅能用于口语；相当于“wantto”或者“wanta”）
foolish|adj.愚蠢的；荒谬的；可笑的
render|vt.提供；表现；使成为；宣布；翻译；回报；给予补偿；【计】渲染; n.粉刷；打底；交纳
buffet|n.自助餐；饮食柜台；打击; vt.连续猛击；打击
tickle|vt.使发痒；逗乐；使快乐; vi.觉得痒; n.痒；抓痒
trays|塔板
doggie|n.小狗；狗；汪汪; adj.狗的；像狗一样的; =doggy.
hoarse|adj.沙哑的；嘶哑的；刺耳的
snug|adj.温暖舒适的；合身的；安全的; v.使整洁干净；舒适地依靠；紧贴; n.酒吧里的私房
dung|n.动物的粪便; v.上粪
dictatorship|n.专政；独裁（权）
commence|v.开始；着手；获得学位
rack|n.行李架；（放衣物、碗碟等的）架子；拷问台；折磨；（比赛开始前固定球位置的）三角框; vt.使痛苦；把...放在架子上；累计取得
strengths|强项
earliest|n.最早; adj.最早的
flip|vt.掷；轻击；弹; vi.翻转; n.（跳水或体操动作中的）空翻；轻弹；浏览; adj.无礼的；冒失的；轻率的
heartless|adj.无情的；残酷的
aerobics|n.有氧运动；健美操
chaos|n.混乱；无秩序；混沌
eternal|adj.永久的；永恒的; n.永恒的事
ash|n.灰；灰烬; n.白蜡树；白蜡木; (复)ashes：骨灰；废墟；苍白.
sprinkle|v.洒；撒；下稀疏小雨; n.少量散布的屑状物
compound|n.化合物；复合词；复合物; n.院子(用围墙圈起来的场地）; adj.化合的；【语】（词语等）复合的；【植】复合的；【动】群体的; vt.混合；调合；使严重；私了；【经】以复利计算; vi.妥协
stroke|n.中风；击打；一笔（画）；意外的运气; v.击打; v.轻抚；奉承
gorgeous|adj.华丽的；灿烂的；极好的
confusion|n.惶惑；混淆；混乱；不确定状态
grateful|adj.感激的；令人愉快的
jumper|n.跳跃者；跳高运动员；雪橇；[电]跳线; n.无袖连衣裙；套头衫；连衫裤童装；工作夹克
nearest|adj.最近的
formerly|adv.以前；从前
peck|v.啄；连续敲击；轻吻; n.啄痕；啄食；轻吻; n.配克；大量
riddle|n.谜；谜语; vt.解谜；出谜题；充满；打洞；筛选; vi.出谜题
prophecy|n.预言; =prophesy.
rewrite|n.重写；改写; vt.改写；重写; vi.修改
blond|adj.金发的; n.金发的人
milky|adj.乳状的；乳白色的
finest|adj.好的；出色的
warriors|武士
serpent|n.蛇；蛇一般的人；狡猾的人
surgeon|n.外科医生
dreamy|adj.梦幻般的；心不在焉的；不切实际的；轻柔的
howling|adj.咆哮的；哭哭啼啼的；寂寥的
glide|v.滑动；滑翔；溜走; n.滑动；滑过；滑音
frightened|adj.受惊的
instantly|adv.立即地；即刻地
drool|v.流口水；垂涎；胡说; n.口水；胡话
grace|n.优美；优雅；恩惠; vt.使优美；使荣耀
accompany|vt.陪伴；伴随...发生；补充；给...伴奏; vi.伴奏
stink|n.臭味；臭气; vi.发臭味；招人讨厌
hospitality|n.款待；殷勤；好客；酒店管理
digest|n.摘要; vt.消化；理解; vi.消化
thoughtfully|adv.深思地；考虑周到地；细心地
historian|n.历史学家；编史者
uncles|n.叔伯
satisfied|adj.感到满意的
torch|n.手电筒；火炬；火把；纵火犯; v.纵火
dreary|adj.沉闷的；令人沮丧的；情绪低落的
