sleet|n.雨雪; v.下雨雪；下冰雹
snowball|n.雪球；打雪仗；滚雪球式的募捐法; v.向...丢雪球；使生长或快速的增长
cattle|n.牛；家畜；畜牲
document|n.文件；公文；文档; vt.记载；(用文件等)证明
stepmother|n.继母；后母
jug|n.水壶；罐；监牢; vt.罐焖；把……关进监狱
astonish|vt.使惊讶；使吃惊
convention|n.大会；协定；惯例；公约
temporarily|adv.暂时地；临时地
polar|adj.两极的；对立的; n.极线；极性
flagpole|n.旗竿; =flagstaff.
establish|v.建立；确立；创办；安顿
detect|v.发觉；察觉；探测
twelfth|adj.第十二的；十二分之一的; n.第十二；十二日；第十二音
agent|n.代理人；代理商；药剂；特工人员
amusing|adj.有趣的；引人发笑的
ashamed|adj.感到惭愧的；感到害臊的
wearer|n.穿用者
sunup|n.日出
freak|n.怪人；狂热爱好者；怪事；反复无常; adj.奇异的；不正常的; vt.使强烈反应(震惊；畏惧); vi.在药物影响下变得异乎寻常
lift|vt.举起；运送；偷窃；升高；还清；取消; vi.提升; n.举起；提升；电梯；搭便车；帮助；载货量；扒窃
term|n.学期；术语；条件；条款；期限；名词; vt.把...称为
persistent|adj.坚持的；连续的；固执的
shade|n.阴影；遮蔽；遮光物；(色彩的)浓淡; vt.遮蔽；使阴暗；使渐变；略减（价格）; vi.渐变
truthful|adj.诚实的；真实的
armor|n.盔甲；装甲
punctuation|n.标点；强调
accompany|vt.陪伴；伴随...发生；补充；给...伴奏; vi.伴奏
needle|n.针; vt.用针缝；激怒；嘲弄; vi.缝纫
yolk|n.蛋黄
pour|v.不断流动；倒；倾泻；蜂涌而来; n.倾泻
class|n.等级；阶级；阶层；班级；课；[生]纲；出色的风度; v.分类
saint|n.圣人；圣徒; vt.把...封为圣人
colds|n.感冒
temptation|n.诱惑；引诱物
turnip|n.萝卜；芜菁；大头菜
slay|vt.杀害；残杀；使大笑
groan|v.呻吟；抱怨；发嘎吱声；受重压; n.呻吟；呻吟声
lever|n.杠杆；控制杆；手段; v.撬开；使用杠杆
buttoned|adj.用钮扣装饰的；扣紧的
parasite|n.寄生虫；寄生生物；食客
tock|n.托科鸟
fluff|n.软毛；绒毛；无价值物；失误; v.（使）变柔软；搞糟；忘词
wonder|n.惊奇；惊愕；奇迹；奇观; v.惊奇；想知道；怀疑; adj.奇妙的；非凡的
foss|n.沟；渠道；护城河; =fosse.
pedestal|n.基架；底座；受人尊敬的地位; vt.搁在台上；颂扬
flex|v.弯曲；伸缩；屈曲; n.花线；弯曲；弹性
celebrity|n.名人；名誉；社会名流
thankful|adj.感谢的；感激的
aid|n.援助；帮助；救援；助手；辅助物; v.辅助；援助；接济
matter|n.事情；事态；问题；关于...的事情；物质；重要性; v.有关系；要紧
devotion|n.虔诚；献身；奉献；热爱
retire|v.退休；撤退；离去；就寝；主动退出比赛；收回（货币）；赎回（票据）; n.退休，退职
barrel|n.桶；枪管；一桶的量；炮管；大量；笔管；汽油桶; vi.快速移动; vt.把...装桶
counter|n.柜台；筹码；计数器；反驳; adj.相反的; adv.与…相反地; v.反对；反击
warriors|武士
possess|vt.拥有；持有；支配
thoroughly|adv.彻底地；完全；非常
darn|v.织补; n.补钉; int.该死（damn的委婉语）
tankers|油船
grassy|adj.长满草的；草绿色的；像草的
theater|n.剧场；电影院；戏院; adj.战区的
pause|n.暂停；中止；犹豫不决; vi.停顿；中止
licence|n.执照；许可；特许；自由；放纵; vt.同意；许可
brand|n.烙印；商标；牌子；标记; vt.加污名于；铭记；打烙印
squawk|n.叫声；嘈杂的抱怨; v.呱呱地叫鸣；喋喋不休地发牢骚
awkwardly|adv.别扭地；拘谨地；尴尬地；笨拙地
quit|v.停止；离开；退出；辞职
markers|标记
grasp|n.把握；领会；抓紧; vt.领会；抓住；紧握
dip|v.浸；蘸；下沉；倾斜；掏取；浏览; n.浸泡；浸；蘸；倾斜；下降
regularly|adv.有规律地；定期地
chimney|n.烟囱
descend|v.下降；降临; v.传下来；遗传; v.突然袭击；突然拜访
predator|n.食肉动物；掠夺者；（动物的）捕食性天敌
clunk|n.沉闷的金属声；愚蠢乏味的人; v.发出沉闷声；打击某物（使）发出沉闷声地
caterpillars|毛虫树
whiz|n.飕飕声；飕飕掠过；专家；奇才；能手; v.（使）飕飕作响; =whizz
worthwhile|adj.值得(做)的
uncles|n.叔伯
proof|n.证明；证据；校样; adj.防...的；耐...的; vt.检验；给...做防护措施
propeller|n.螺旋桨；推进器; =propellor.
slim|adj.苗条的；微小的；细长的; v.减肥；缩减
bowler|n.玩滚球的人；投球手；圆礼帽
equestrian|n.骑马者；骑术家; adj.骑马的；骑术的
van|n.箱形客货两用车；(铁路的)有盖货车；[军]先锋；先导；翼; v.(用货车)运
boldly|adv.大胆地；显眼地
corpse|n.尸体
lop|v.剪去(树枝)；砍掉；削减；耷拉下来
jury|n.陪审团；评委会; adj.临时用的; vt.挑选
sac|n.囊；液囊
cannon|n.大炮；机关炮; v.开炮；相撞
fort|n.堡垒；要塞
vacant|adj.空虚的；空的；木然的
caution|n.警告；慎重；戒备；吸引人眼球的人或物; vt.警告；劝告
orphan|n.孤儿; adj.孤儿的; vt.成孤儿
superior|n.上级；高手；上标; adj.高傲的；上层的；上好的；出众的
broadcast|v.广播；散布；撒播; n.广播；广播节目
nighttime|n.夜间; adj.夜间的
remark|n.评论；备注；注意; v.评论；注意到
