tread|n.步法；踏面；胎面花纹；鞋底; v.踩；行走；践踏；(鸟类)交配
rip|v.撕裂；扯开; n.裂口；裂缝；撕裂
nonstop|adj.直达的；不断的；不间断的; adv.直达地；不间断地; n.直达车；直达行驶
mortality|n.死亡率；死亡数目；必死性
shortage|n.不足；缺少，短缺
sneak|vt.偷偷摸摸做; vi.偷偷地走；偷偷地做; n.鬼鬼祟祟的人；潜行；溜; adj.出其不意的；暗中进行的
thickly|adv.厚厚地；浓密地；声音沙哑地
sickle|n.镰刀
uncover|vt.揭开；揭露
tone|n.语气；音调；调子；色调；风气; v.使更健壮；定调；调色；装腔作势地说
porch|n.门廊
confusion|n.惶惑；混淆；混乱；不确定状态
librarian|n.图书管理员；图书馆学专家；图书馆馆长
yo|int.唷(水手拉绳时一道发出的叫声)
sternly|adv.严格地；严肃地；坚定地
teamwork|n.合作；协同工作
immortal|adj.不朽的；永世的; n.不朽的人物；神
stygian|adj.地狱的；阴暗的；幽暗的；冥河的
imagination|n.想象；想象力；空想；幻想
socialist|adj.社会主义的; n.社会主义者
intensive|adj.密集的；彻底的；精细的；强调的; n.(语法)强调成份
unmarried|adj.未婚的；独身的; n.未婚者
spikes|pl.钉鞋
swoop|v.抓取；猛扑；突然袭击; n.俯冲；攫取；突然袭击
mighty|adj.强大的；巨大的; adv.很；极其
silently|adv.沉默地；寂静地
shrine|n.圣地；神龛；庙; v.将...置于神龛内；把...奉为神圣
splashing|喷洒,泼洒
mere|adj.仅仅的；纯粹的
shiver|v.颤动；发抖; v.打碎; n.冷颤；哆嗦; n.碎块
sacks|n.(纸；麻；帆布质的)大袋子；一袋的分量; 宽松的短上衣; 睡袋；吊床; (棒球)垒；(橄榄球)成功擒抱四分卫; 解雇; vt.把...装进袋子；解雇；(橄榄球)擒抱四分卫
unbelievable|adj.难以置信的
lifeguard|n.救生员
mellow|adj.成熟的；醇的；熟练的; v.（使）变熟，（使）柔和
devil|n.魔鬼；淘气鬼；坏人；家伙；棘手的事; vt.困扰；添加辣味调料；给...做助手
supervisor|n.监督人；主管人；管理人；督学；检查员；导师
statue|n.雕像；塑像
stable|adj.稳定的；安定的；可靠的; n.马棚；马厩；一批人; v.使（马）入厩；入马棚
poke|n.戳；刺；拨；钱袋; v.戳；捅；刺；拨开；伸出
scram|n.急停；急离；紧急刹车; v.快走开
stadium|n.体育场；运动场；[生]期
squeaky|adj.吱吱响的；发轧声的；短促尖声的
timber|n.木材；木料
goodwill|n.善意；亲切；友好；商誉；信誉
speeding|adj.高速行驶的; n.超速行驶
smelly|adj.难闻的；臭的
lid|n.盖子；眼睑; vt.给...装盖子
self|n.自己；本性；自我; pron.我自己；你自己；他或她自己; adj.始终如一的；同一类型的；性质不变的; v.近亲繁殖；自花授粉
stir|vt.激起；惹起；搅和; vi.活动；引起；挪动; n.骚乱；感动(激动；愤怒或震动)；搅拌
rhythmic|adj.有节奏的；有韵律的
thud|n.重击声；砰的一声; v.发出砰的一声
sorceress|n.女魔法师；女巫
detour|n.绕路；便道; v.绕路而行
girdle|n.腰带；围绕物; vt.以腰带束缚；在...周围绕
thinker|n.思想者；思考者
sunglasses|n.墨镜；太阳镜
stench|n.臭气；恶臭
victorious|adj.胜利的；得胜的
trickle|vi.滴流；慢慢移动; n.细流；徐徐地流
skim|vt.撇去；略读；掠过；滑过; vi.掠过；表面凝结；瞒报; n.浮沫；略读；脱脂物
granny|n.奶奶
apiece|adv.每人；每个；各
spectator|n.观众；旁观者
weary|adj.疲倦的；厌烦的; v.疲倦；厌烦；生厌
shabby|adj.破旧的；寒酸的；低劣的，无耻的；卑劣的
legendary|adj.传说的；传奇的；著名的
holler|v.叫喊；发牢骚; n.叫喊；怨言
afterlife|n.来世；后来的岁月
gulf|n.海湾；鸿沟; vt.吞没
hurl|v.用力投掷；愤慨地说出；丢下
shiner|n.发光物；发光体；银色小鱼；黑眼眶
betcha|int.当然；真的；的确！; =betyou.
surgery|n.外科手术；外科；诊所；手术室
offense|n.过错；冒犯；触怒；犯规；犯罪；进攻
lair|n.(野兽的)巢穴；(人的)藏身处
splashdown|n.在海中降落
spiro|n.螺
tetanus|n.破伤风
routine|n.例行公事；常规；无聊; adj.常规的；例行的；乏味的
twinkle|vi.闪耀；闪烁；眨眼；轻快移动; vt.使闪耀; n.闪烁；闪耀；眨眼；瞬息
reunion|n.团聚；联合
boot|n.靴子；猛踢；解雇；[英]汽车行李箱; vt.踢；穿靴子；逐出；启动(计算机)
sludge|n.泥泞；淤泥；泥状雪
exhausted|adj.用完的；精疲力竭的
ribbon|n.缎带；带状物；色带; vt.用丝带装饰；撕碎
moan|n.呻吟声；抱怨声; vt.抱怨；呻吟; vi.呻吟；抱怨
shore|n.岸；滨
sleeve|n.套管；袖子
textbooks|教材
airlines|n.航空公司
slapping|adj.出奇地快；巨大的；极好的; adv.极快地；非常地
spectacle|n.景象；场面；奇观；壮观；公开展示；表相，假相; n.（复）眼镜
fiend|n.魔鬼；邪神
thou|pron.[古]你；尔；汝
sometime|adj.以前的; adv.改天；来日；某时
fairy|n.仙女；小精灵; adj.优雅的；幻想中的；虚构的
compound|n.化合物；复合词；复合物; n.院子(用围墙圈起来的场地）; adj.化合的；【语】（词语等）复合的；【植】复合的；【动】群体的; vt.混合；调合；使严重；私了；【经】以复利计算; vi.妥协
strainers|过滤器
hooded|adj.戴头巾的；有兜帽的；有罩盖的；[动]有冠顶的
stratosphere|n.平流层；高层次；最高阶段
