pillar|n.柱子；支柱；核心(人物); vt.用柱支持
fragment|n.碎片；片段; v.使破碎；分裂
gasp|v.喘气；喘息；渴望; n.喘气
threaten|v.威胁；恐吓；似将发生
dabble|v.喷洒；玩水；泼溅；涉猎；浅尝
efficiency|n.效率；功率
faint|adj.微弱的；无力的；模糊的; v.昏倒; n.昏厥；昏倒
gnaw|v.咬；折磨；侵蚀
goatskin|n.山羊皮
gravel|n.碎石; v.铺碎石；使困惑
demon|n.魔鬼；恶魔；精力充沛的人；高手
demotic|adj.平民的；民众的；通俗的
deck|n.甲板；层面；一副牌; vt.装饰；用力击倒
bloody|adj.流血的；血腥的；嗜杀的; vt.使流血; adv.[俚]非常
mythical|adj.神话的；虚构的；杜撰出来的
divine|adj.神圣的；神的; vt.推断; vi.预言；理解; n.牧师；神学家
maple|n.【C】枫树；槭树; n.【U】枫树干
unbelievable|adj.难以置信的
dedication|n.奉献；献词；献堂礼
disk|n.圆盘；唱片；花盘；磁盘；盘形物
courier|n.送快信的；急差；旅行服务员
curdle|v.凝结；变稠; v.(使)结成凝乳；变成凝乳状
shepherd|n.牧羊者；牧师；指导者; v.牧羊；照看；引领
nameless|adj.无名的；匿名的；不可名状的
goalie|n.(足球等运动的)守门员; =goalkeeper
routine|n.例行公事；常规；无聊; adj.常规的；例行的；乏味的
desperate|adj.绝望的；不顾一切的；极其想要的
foul|adj.恶臭的；邪恶的；污秽的；恶劣的；犯规的; n.犯规; v.弄脏；妨碍；犯规
harness|n.马具；安全带；甲胄；系在身上的绳子; vt.束以马具；披上甲胄；利用；管理；控制
deaths|死亡人口
dominion|n.统治；主权；领土; Domimion：.; n.英联邦的自治领土
crown|n.王冠；王权；花冠；顶点；齿冠；克朗（丹麦、瑞典、捷克等国的货币单位）; vt.加冕；使...成王；居...之顶；镶齿冠；使圆满；打…的头部
rattle|vi.嘎嘎作响；喋喋不休; vt.使惊惶失措；使恼火；使作响；急促地谈讲; n.嘎嘎声；嘎嘎响的东西；拔浪鼓
creator|n.创造者；[计]创建者; Creator.; n.上帝
gigantic|adj.巨大的
appetite|n.食欲；嗜好；欲望
drift|vi.漂流；漂移；吹积；漂泊；偏离; vt.使漂流；使堆积; n.漂流；趋势；漂泊
bonding|n.形成的亲密关系；[牙]黏结
dungeon|n.地牢；土牢；城堡主塔
trickle|vi.滴流；慢慢移动; n.细流；徐徐地流
stall|n.栅栏；小隔间；货摊；座位; v.把...关进畜舍里；失速；熄火；拖延；（使）动弹不得
supporter|n.支持者；拥护者；支撑物
developing|adj.发展中的
frontal|adj.前的；正面的；额的; n.额饰；祭坛前面的罩巾；建筑物的正面；三角门楣
shortage|n.不足；缺少，短缺
swimmer|n.游泳者
whistle|n.口哨；汽笛；警笛; v.吹口哨；鸣汽笛；呼啸；吹口哨召唤
furious|adj.狂怒的；猛烈的
shabby|adj.破旧的；寒酸的；低劣的，无耻的；卑劣的
crocodile|n.鳄鱼
distraction|n.分心；分心的事物；注意力分散；娱乐；消遣；发狂
boot|n.靴子；猛踢；解雇；[英]汽车行李箱; vt.踢；穿靴子；逐出；启动(计算机)
spitting|n.吐出(逆火；点燃导火线)
flail|v.挥动；用连迦打；敲打; n.连迦
lid|n.盖子；眼睑; vt.给...装盖子
tight|adj.紧的；紧身的；密集的；拮据的; adv.紧紧地；牢固地；迅速地
smooth|adj.光滑的；平稳的；流畅的；圆滑的；可口的；安祥的；均匀的; v.使光滑；消除；安慰；理顺(羽毛)
drape|n.布帘；褶皱; v.用布帘覆盖；（使）呈褶裥状；悬挂
gleam|v.闪烁；隐约地闪现; n.微光；闪光；闪现
elegant|adj.优雅的；雅致的
deli|n.(=delicatessen)熟食店
droop|v.低垂；下垂；(草木)枯萎；(精神)萎靡; n.下垂；消沉
budge|v.移动；妥协; n.羔皮; adj.浮夸的；庄严的
apiece|adv.每人；每个；各
nephew|n.外甥；侄子
darkness|n.黑暗
freshly|adv.新近；刚才
fairy|n.仙女；小精灵; adj.优雅的；幻想中的；虚构的
footed|adj.有脚的；...脚的
uncover|vt.揭开；揭露
overtime|n.加班时间(加班加点费)；(比赛)延长时间; adv.在规定时间之外(超出时间地)
wool|n.羊毛；毛线；毛织品
disgusting|adj.令人厌恶的
intensive|adj.密集的；彻底的；精细的；强调的; n.(语法)强调成份
ness|n.岬；海角
syrup|n.糖浆；甜而黏稠的汁液
eternally|adv.不朽地；永久地
bravely|adv.勇敢地
demi|pref.半
victorious|adj.胜利的；得胜的
blindfold|v.蒙住...的眼睛; n.蒙眼物；盲目; adj.被蒙上眼睛的
maker|n.制造者；制定者; Maker:上帝.
fisherman|n.渔夫；渔船
fiend|n.魔鬼；邪神
banquet|n.宴会; vi.参加宴会; vt.宴请；设宴
summon|vt.召唤；召集；振奋
creation|n.创造；创作
doggy|n.小犬；小狗（=doggie）; adj.爱狗的；像狗一样的；摆阔的；低级的
unharmed|adj.没有受伤的；无恙的
detour|n.绕路；便道; v.绕路而行
glint|n.闪烁; v.闪耀；闪闪发光
raging|adj.狂暴的；非凡的；熊熊燃烧的
lair|n.(野兽的)巢穴；(人的)藏身处
bald|adj.秃头的；单调的；无装饰的; v.（使）变秃头
bronze|n.青铜；青铜色；青铜制品；铜牌; adj.青铜制的；青铜色的; vt.使成青铜色
stroll|n.闲逛；漫步; v.闲逛；漫步
giggle|v.咯咯地笑; n.咯咯笑；趣事
convert|v.(使)转变；使…改变信仰；转化；兑换；换算; n.皈依者；改变信仰的人
mere|adj.仅仅的；纯粹的
eights|八叠板,八层叠板
