bog|n.沼泽; v.使...陷于泥沼；陷于困境
supporter|n.支持者；拥护者；支撑物
arrow|n.箭；箭头
bloodstained|adj.染着血的；犯杀人罪的
behold|vt.看到；注视；领悟; vi.看；看啊(多用于祈使句；引起人的注意)
adrift|adv.漂流地；漫无目的地; adj.漂泊的；漫无目的的；松开的
bloody|adj.流血的；血腥的；嗜杀的; vt.使流血; adv.[俚]非常
brewski|n.啤酒；一瓶啤酒
announcer|n.广播员；告知者
conquer|vt.征服；克服；战胜; vi.得胜
ambrosia|n.神的食物；特别美味的食物
blindfold|v.蒙住...的眼睛; n.蒙眼物；盲目; adj.被蒙上眼睛的
bestow|v.授予；给予；使用；放置
aphrodite|n.北美豹蝶; Aphrodite.; n.阿佛洛狄忒（爱与美之女神）
circus|n.马戏团；马戏表演；竞技场；广场
raging|adj.狂暴的；非凡的；熊熊燃烧的
arc|n.弧；弧形物; vi.形成电弧；按弧形轨迹行进
binding|n.镶边；（书籍的）封皮；（滑雪板的）皮靴固定装置; adj.必须遵守的；有法律约束力的
convert|v.(使)转变；使…改变信仰；转化；兑换；换算; n.皈依者；改变信仰的人
cower|v.畏缩；退缩；抖缩
bleat|n.羊的鸣声；哀鸣; v.发出羊叫声；哀鸣；哭诉
appetite|n.食欲；嗜好；欲望
chipmunk|n.[动]花栗鼠
awaken|v.醒；意识到；唤醒；激起；使意识到；使唤醒
armful|n.一抱之量
bundle|n.捆；束；包；大笔钱; v.捆；把...扎成一捆；匆忙地走
architect|n.建筑师; n.【喻】缔造者；创造者
cigar|n.雪茄烟
charitable|adj.仁慈的；(为)慈善事业的；宽恕的
craggy|adj.多峭壁的；棱角分明的
clockwise|adj.顺时针方向的; adv.顺时针方向地
syrup|n.糖浆；甜而黏稠的汁液
buddy|n.伙伴；兄弟；好朋友; vi.结交
cautiously|adv.慎重地；谨慎的
badger|n.獾；獾皮(毛); Badger:獾州人(对威斯康星州人的昵称).; v.纠缠；一再烦扰；吵着要
bang|n.巨响；重击；刘海; v.重击；大声敲；剪成刘海；突然巨响; adv.正好地；准确地
administrator|n.管理人；行政官
cannonball|n.炮弹；抱膝跳水；高速列车；炮弹式发球; v.以极快速度移动；抱膝跳水
composed|adj.镇静的；沉着的；由…组成的
beautifully|adv.美丽地；完美地；出色地；很好
harness|n.马具；安全带；甲胄；系在身上的绳子; vt.束以马具；披上甲胄；利用；管理；控制
ceiling|n.天花板；上限
compartment|n.间隔；个别室；卧车包房; vt.划分
conserve|n.蜜饯；果酱; v.保存；保持；节省；用糖保存
aw|int.表示抗议、怀疑、厌恶等的感叹语
cha|n.茶
blade|n.刀刃；刀锋；桨叶；叶片
churn|n.搅乳器; v.搅拌；搅动；翻腾；〈口〉粗制滥造
crocodile|n.鳄鱼
clan|n.氏族；宗族；党派
await|v.等候；期待；将降临于
builder|n.建设者；建筑工人；促进剂；增洁剂
crown|n.王冠；王权；花冠；顶点；齿冠；克朗（丹麦、瑞典、捷克等国的货币单位）; vt.加冕；使...成王；居...之顶；镶齿冠；使圆满；打…的头部
barque|n.三桅船；轻舟
clench|v.紧握；紧咬；牢牢地抓住；确定; n.牢牢抓住；钉紧
cocoon|n.茧；茧状物; v.包围；包裹
burial|n.埋葬；葬礼；坟墓
ahoy|int.喂（用来呼叫船或人）
avenge|vt.为...报复；报仇
cracking|n.分裂；分解; adj.很快的；很好的；很美的; adv.很快地；很好地；很美地
amazement|n.惊愕；惊异
charm|n.魅力；吸引力；迷人；美貌; v.（使）着迷；施魔法
unharmed|adj.没有受伤的；无恙的
badminton|n.羽毛球
chill|v.(使)变冷；(使)扫兴；[冶]冷淬; n.寒冷；扫兴；寒心；着凉; adj.冷淡的；寒冷的
compliant|adj.适用的；顺从的
cope|vi.应付；对抗；妥善处理; vt.笼罩；盖上斗篷; n.长袍；斗篷状物
cellar|n.地窖；地下室; vt.把...藏入地窑
baboon|n.狒狒
blacksmithing|n.锻造，手工锻造
brigade|n.旅；队；组; vt.组队；编组
click|n.咔嗒声；[计]点击; v.（使）发出咔嗒声；点击
pillar|n.柱子；支柱；核心(人物); vt.用柱支持
ankle|n.踝；踝关节
aviator|n.飞行员
