justices|公平
vulture|n.秃鹰；兀鹰；贪婪的人
throne|n.王位；君主
bent|bend的过去式和过去分词.; adj.下定决心的；弯曲的; n.嗜好
nationality|n.国籍；民族
wiggle|v.扭动；摆动; n.扭动；蠕动；奶油青豆烧鱼
grunt|v.咕哝；（猪等）打呼噜; n.咕哝；呼噜声
underneath|adv.在下面; n.下部；底部; prep.在...下面
suffer|vt.遭受；忍受；容忍，宽恕，听任；允许，准许; vi.受苦；患病；受损失；变差，变糟；处于不利地位
wisdom|n.智慧；明智；才智；聪明；至理名言
collapsed|adj.倒塌的
thump|v.重击；怦怦跳；猛击；用拳头打; n.重击声；重打
reptile|n.爬行动物；卑鄙的人; adj.爬虫类的
delicate|adj.微妙的；精美的；纤细的；脆弱的；敏锐的；美味的
analysis|n.分析；解析
cast|v.掷；抛；投；铸造；指定演员；加起来；投射(目光)；投(票)；预测; n.演员阵容；投掷；[医]固定用敷料
aggressively|adv.侵略地；攻击地；有干劲地
aspect|n.方面；方位；外观；外貌
newborn|adj.新生的; n.新生儿
disturb|v.扰乱；妨碍；使...不安；打破...的平静；打乱...的治安
burst|n.爆发；破裂；阵; v.爆裂；迸发；冲；闯
cargo|n.货物；船货
tremble|n.战悚；颤抖; v.发抖；忧虑；震颤
continual|adj.不断的；频繁的；连续的
secure|adj.安全的；牢靠的；稳妥的; vt.使安全；获得；固定
puck|n.冰球；橡胶圆盘；小淘气
companion|n.同伴；志趣相投的人；成对物品之一；参考书; v.陪伴
pyramid|n.金字塔；棱锥体；[证券]金字塔式交易法; v.急速增加；以金字塔的模型构建
sneeze|n.喷嚏; vi.打喷嚏
flute|n.长笛；凹槽; vi.吹长笛；发出笛声; vt.刻凹槽
originally|adv.原本；起初；独创地
rare|adj.罕见的；珍贵的；煎得嫩的
express|n.快车；快递；专使; adj.明确的；急速的；直接的; adv.用快递; vt.表达；表示；挤压出；快递
trapdoor|n.地板门；活板门；活盖
consistent|adj.始终如一的；持续的；一致的
tile|n.瓷砖；瓦片; v.盖瓦；铺瓷砖
practical|adj.明智的；实际的；实用的；事实上的; n.实践考试
haul|v.拖；拉；拖运; v.（使船）改变方向; n.拖；拉；搬运
trauma|n.创伤；外伤
karate|n.空手道(日本的一种徒手武术)
accurate|adj.准确的；精确的
guarantee|n.保证；保证书；担保；担保人；抵押品; vt.保证；担保
impatient|adj.不耐烦的；急躁的
generator|n.发电机；发生器
extraordinary|adj.非凡的；特别的；特派的
actual|adj.实际的；事实上的
log|n.原木；圆木；(航海、飞行)日志；(船)计程仪; v.伐木；记入(日志)
gardener|n.园丁；花匠
stab|v.刺；戳；刺伤; n.刺；戳；刺痛；尝试
chant|n.圣歌；赞美诗；旋律；喊叫; v.吟唱；诵扬；叫喊
travelers|旅游者
torrent|n.激流；山洪；(谩骂、质问等的)连发，爆发
spill|v.溢出；洒；使...流出；泄漏; n.溢出；流；木片；小杆
exist|v.存在；生存；活着
enjoyment|n.享受；令人愉快的事
athletic|adj.运动的；活跃的；健壮的
poodle|n.狮子狗
practicing|adj.开业的；在工作的
parcel|n.包裹；部分；一块(土地); vt.分配；打包
apologize|vi.道歉；赔罪
bland|adj.温和的；不油腻的；引不起兴趣的；平淡无奇的
canal|n.运河；沟渠；气管；食管; vt.建运河；疏导
speck|n.斑点；灰尘；污点；少量; v.用斑点标记
portable|adj.轻便的；手提式的；[计]可移植的; n.便携的东西
vital|adj.至关重要的；有活力的；生死攸关的
disappointed|adj.失望的
advance|n.前进；进展；预付金; v.前进；预付；增长；推进; adj.预先的；提前的
congratulate|vt.祝贺；庆祝
interior|adj.内地的；国内的；内部的; n.内部；内在
weep|v.流泪；哭泣；悲叹；渗出; n.哭泣；眼泪
identify|vt.鉴定；识别，辨认出，认出；认明；把…看成一样; vi.认同；感同身受
stove|n.炉子；窑；【主英】温室
forming|n.形成(成形法；模锻); v.形成
dial|n.拨号盘；刻度盘；日晷；钟面; v.拨号；打电话
togetherness|n.相聚；在一起；和睦
automatically|adv.自动地；机械地
steadily|adv.稳定地；稳固地；逐步地
journey|n.旅程；旅行；行程; v.旅行
culture|n.栽培；文化；教养; vt.培养，栽培
concern|n.关心；关心的事；忧虑，担心; vt.涉及；影响；关心；（使）担心; n.公司；企业
embarrass|vt.使窘迫；使尴尬；使为难; vi.窘迫
symptom|n.症状；征兆
tremendous|adj.巨大的；惊人的
rump|n.[鸟]尾部；[兽]臀部；余党
immature|adj.不成熟的
visual|adj.视觉的；视力的；看的见的；形象的; n.画面；图象
swan|n.天鹅; vi.闲荡；游荡
begin|v.开始；着手
vehicle|n.车辆；交通工具；传播媒介；手段；工具
academic|adj.学院的；学术的；理论的; n.大学教师，大学生；学者，学究
freely|adv.自由地；免费地；直率地；大量地
grateful|adj.感激的；令人愉快的
challenging|adj.挑战性的；有吸引力的; 动词challenge的现在分词.
status|n.地位；情形；状况，状态；身份
hoist|v.升起；升高；举起; n.起重机；升高
reflective|adj.反射的；反映的；沉思的
classroom|n.教室；课堂
stare|v.盯着看；凝视; n.凝视
persuade|vt.说服；劝说
ghost|n.幽灵；鬼魂; n.[计]美国赛门铁克公司旗下的硬盘备份还原工具
