mysteriously|adv.神秘地；故弄玄虚地
newly|adv.新近地；重新地
skim|vt.撇去；略读；掠过；滑过; vi.掠过；表面凝结；瞒报; n.浮沫；略读；脱脂物
furious|adj.狂怒的；猛烈的
conquer|vt.征服；克服；战胜; vi.得胜
headquarters|n.总部；司令部；指挥部
buddy|n.伙伴；兄弟；好朋友; vi.结交
spectacle|n.景象；场面；奇观；壮观；公开展示；表相，假相; n.（复）眼镜
kaboom|背着网接团身后空翻
creation|n.创造；创作
gut|n.内脏；肠子；羊肠线；胆量；勇气; vt.取出内脏；摧毁（内部）; adj.本能的；（问题等）根本的
hie|v.快走；赶紧；催促
horror|n.恐怖；战栗；厌恶；震惊; adj.恐怖的
beautifully|adv.美丽地；完美地；出色地；很好
mule|n.骡子；固执的人；走私毒品者; n.拖鞋
pendragon|n.古代不列巅或威尔斯的王侯；首领；旨长
bloodstained|adj.染着血的；犯杀人罪的
chipmunk|n.[动]花栗鼠
armful|n.一抱之量
goalie|n.(足球等运动的)守门员; =goalkeeper
lunge|n.刺；刺进；跃进; v.猛向前冲；踢；刺出
ahoy|int.喂（用来呼叫船或人）
flail|v.挥动；用连迦打；敲打; n.连迦
splashing|喷洒,泼洒
travelers|旅游者
untie|v.解开；松开
clench|v.紧握；紧咬；牢牢地抓住；确定; n.牢牢抓住；钉紧
eights|八叠板,八层叠板
gymnastics|n.体操
creator|n.创造者；[计]创建者; Creator.; n.上帝
perfume|n.香水；香气; vt.洒香水于；使香气弥漫
humbly|adv.恭顺地；谦卑地
puddle|n.水坑；地上积水；胶泥; v.搅浊；在泥污中打滚；排尿
romp|v.嬉闹玩笑；欢快地迅速奔跑；轻易地取得胜利; n.好玩的游戏；欢闹；顽皮嬉闹的人；轻易取得的胜利
quietly|adv.安静地；悄悄地；平静地
violently|adv.猛烈地；强烈地；暴力地
ichor|n.[希神]灵液；[医]脓水
glint|n.闪烁; v.闪耀；闪闪发光
deck|n.甲板；层面；一副牌; vt.装饰；用力击倒
speeding|adj.高速行驶的; n.超速行驶
