warmly|adv.亲切地；温暖地；热烈地
destruction|n.破坏；毁灭
magician|n.魔术师；术士
boast|v.自夸；吹牛；以...为荣; n.自夸；引以为荣的事物
delight|n.高兴；快乐; v.(使)高兴；(使)欣喜
offerings|n.提供之物
poker|n.扑克; n.戳(或捅)的人；拨火棍
helper|n.助手；帮手
nasty|adj.下流的；严重的；令人不快的；难懂的；危害的
spiral|n.螺旋；螺旋形之物；不断恶化、增加或减少; v.螺旋移动；盘旋上升；不断恶化、增加或减少; adj.螺旋形的；盘旋的
hairy|adj.多毛的；长毛的；令人恐怖的；难对付的
thumb|n.拇指; v.翻阅；示意要求搭车
triumphant|adj.胜利的；得意洋洋的
positively|adv.极其；绝对地；十分肯定的；坚定的
faraway|adj.遥远的；远方的；(神情)恍惚的；出神的
saddle|n.鞍；车座；山脊；当权; vt.装以马鞍；使负担; vi.装马鞍
grudge|n.怨恨；恶意; vt.不愿；吝惜；嫉妒
luckily|adv.幸运地；幸亏地
dining|n.就餐
yo|int.唷(水手拉绳时一道发出的叫声)
foresee|v.预见；预知
cattle|n.牛；家畜；畜牲
beloved|adj.心爱的; n.爱人
timber|n.木材；木料
oceans|n.大洋
wanna|想要（仅能用于口语；相当于“wantto”或者“wanta”）
eternity|n.永远；来世；不朽；漫长的时间
render|vt.提供；表现；使成为；宣布；翻译；回报；给予补偿；【计】渲染; n.粉刷；打底；交纳
cranky|adj.怪癖的；不稳的
shepherd|n.牧羊者；牧师；指导者; v.牧羊；照看；引领
waking|adj.醒着的
desperation|n.绝望；铤而走险
furiously|adv.狂怒地；有力地；猛烈地
palaces|宫城
dictatorship|n.专政；独裁（权）
commence|v.开始；着手；获得学位
boar|n.野猪；公猪
mellow|adj.成熟的；醇的；熟练的; v.（使）变熟，（使）柔和
smooth|adj.光滑的；平稳的；流畅的；圆滑的；可口的；安祥的；均匀的; v.使光滑；消除；安慰；理顺(羽毛)
magically|adv.如魔法般地；用魔法地
weekly|adj.每周的；一周一次的；周刊的; n.周刊；周报; adv.每周；一周一次
quest|n.探索；寻求; v.寻找；搜索
immediate|adj.直接的；最接近的；立即的；目前的
chaos|n.混乱；无秩序；混沌
strengths|强项
earliest|n.最早; adj.最早的
invincible|adj.不可征服的；不能战胜的
mythical|adj.神话的；虚构的；杜撰出来的
exhausted|adj.用完的；精疲力竭的
pluck|v.摘；猛拉；拔；拨弹（乐器）; n.猛拉；勇气；动物内脏
enormous|adj.巨大的；庞大的
gloomy|adj.阴暗的；忧闷的；前景黯淡的
squawk|n.叫声；嘈杂的抱怨; v.呱呱地叫鸣；喋喋不休地发牢骚
granny|n.奶奶
respectful|adj.表示尊敬的；有礼貌的；谦恭的
mankind|n.人类；男人
surgeon|n.外科医生
tee|n.字母t；形状像字母T的东西; [游戏]目标.; [高尔夫球]发球的球座.; v.将（高尔夫球）置于球座
spitting|n.吐出(逆火；点燃导火线)
eternally|adv.不朽地；永久地
whistle|n.口哨；汽笛；警笛; v.吹口哨；鸣汽笛；呼啸；吹口哨召唤
instantly|adv.立即地；即刻地
willow|n.柳树；柳木制品
stench|n.臭气；恶臭
frantic|adj.疯狂的；狂乱的；急忙的
robbery|n.抢劫
thee|pron.[古]你；汝；你自己
smoothly|adv.平滑地；流畅地
enlighten|v.启发；开导；教导
detached|adj.超然的；分离的；独立的
swamp|n.沼泽；湿地；困境; v.淹没；使陷于困境；使忙于应付
sunglasses|n.墨镜；太阳镜
downstream|adv.朝下游方向; adj.顺流的
turf|n.草皮；泥炭；赛马场；赛马; v.铺草皮
pitiful|adj.慈悲的；可怜的；凄惨的
